Word 1	Word 2	Human (mean)	1	2	3	4	5	6	7	8	9	10	11	12	13	
planet	space	7.92	9	8	9.5	6	5	8	7	8	8	10	9.5	6	9
planet	astronomer	7.94	9	8.25	9.5	8	5	8	7	7	8	10	7.5	7	9
precedent	example	5.85	6	8.5	9.5	10	3	7	6	8	1	1	9	2	5
precedent	information	3.85	5	5.5	6	8	4	5	1	2	0	1	7.5	2	3
precedent	cognition	2.81	6	5.5	2	7	3	3	0	0	0	1	7	1	1
precedent	law	6.65	8	7	8.5	8	3	8	7	5	7.5	8	8.5	5	3
precedent	collection	2.50	7	5.5	1	3	3	5	0	0	0	0	6	1	1
precedent	group	1.77	6	1	1	2	3	5	0	0	0	0	4	1	0
precedent	antecedent	6.04	9.5	0	9.5	9	4	7	7.5	7	8	7	5	3	2
cup	coffee	6.58	9	8	9	8	5	9	8	5	6.5	5	4	3	6
cup	tableware	6.85	7	8.5	8	9	5	7	7	4	5	9	8.5	5	6
cup	article	2.40	1	8.25	6	3	3	0	0	0	0	3	3	2	2
cup	artifact	2.92	7	8	1	2	4	0	2	1	5	3	4	0	1
cup	object	3.69	8	8	4	2	5	3	2	5	5	0	3	2	1
cup	entity	2.15	3	6	3	1	4	3	0	3	4	0	1	0	0
cup	drink	7.25	9	7.75	9	8	4	8	6	8	8	6	7.5	6	7
cup	food	5.00	7	7	6	2	3	7	3	7	6	4	4	4	5
cup	substance	1.92	3	3	2	1	3	2	1	3	5	0	2	0	0
cup	liquid	5.90	9	7.75	7	5	4	7	4	7	7	6	7	4	2
jaguar	cat	7.42	9	7	8	8	4	8	7.5	7	7	9	7	7	8
jaguar	car	7.27	9	9	8.5	8	4	8	7	7	8	9	4	5	8
