# Word 1	Word 2	similarity
惠顾	照顾	3.1
迷人	气质	3.1
果粉	米粉	3.4
榜样	样子	3.5
愚钝	大智若愚	3.6
打假	扫黄	3.8
均衡	全面	4.1
制约	收敛	4.2
经营者	纳税人	4.3
瘦弱	苗条	4.4
前途	道路	4.5
遛弯	走路	4.7
爱心	慈善	4.8
光盘	硬盘	4.9
一体化	集成化	5
销魂	陶醉	5.1
光荣	流芳百世	5.2
观后感	影评	5.7
恼怒	愤慨	5.7
帮助	赞助	6
拥戴	崇拜	6.2
扯淡	闲聊	6.3
旅程	旅行	6.4
男孩	小伙子	6.5
见解	意见	6.8
穷苦	贫穷	7.7
生命	性命	8.2
滚蛋	滚开	9.4
维他命	维生素	9.5
多元化	年轻化	2.4
宝贵	金子	3
结构	系统	3.5
玩偶	工具	3.5
丧失	失独	3.6
肚量	肚子	3.7
娇气	公主	3.7
寒暑假	黄金周	3.8
笑料	活宝	3.9
百货	商场	4
信息化	智能化	4
茶道	茶叶	4.2
罪孽	犯人	4.4
感冒药	退烧药	4.5
难点	问题	5
同事	朋友	5
名字	姓氏	5.2
网站	网页	5.5
名誉	名气	5.8
七情六欲	欲望	6.1
审理	问讯	6.2
工具	器具	6.4
意思	意义	6.4
优惠	降价	6.4
伴随	陪伴	6.5
尘垢	污秽	6.6
猫腻	阴谋诡计	7
吃醋	争风吃醋	7.8
软着陆	经济	2.3
生产力	创新	2.4
上市	盈利	2.8
泼妇	女强人	2.9
载体	书本	2.9
地址	小区	3
价钱	票房	3
表彰	进步	3.1
理论	结论	3.1
烦闷	失眠	3.2
亲人	敌人	3.2
跳槽	移动	3.3
饮酒	喝茶	3.3
财运	桃花运	3.4
女权	女性	3.4
一般	差	3.4
赌局	扑克牌	3.5
宋	明	4.1
雾霾	阴天	4.6
程序	指令	4.7
关键字	关键	4.7
松驰	疲软	4.7
平等	平均	4.8
经营	张罗	5.3
客套	礼貌	5.6
利用	使用	5.6
审查	自纠自查	5.6
炖	焖	5.9
喜欢	崇敬	5.9
暗号	密码	6.1
规律	原理	6.3
轻率	鲁莽	6.5
手法	方法	6.6
准则	规则	6.8
迂腐	墨守成规	7.1
闯祸	惹是生非	7.3
清晰	一清二楚	7.3
姐妹	闺蜜	7.9
扎实	脚踏实地	7.9
事物	东西	8
睡	寐	8.4
忌妒	妒嫉	9.2
俱乐部	富人	2
味道	鼻子	2
绩点	老师	2.3
关心	放任	2.5
空间	世界	2.5
僻静	冷静	2.6
字符	程序	2.6
裁判	足球	2.7
股票	银行	2.7
红颜	面容	2.8
著名	著作	2.8
可能性	可靠性	2.9
占有	争取	2.9
合肥	巴黎	3
热线	焦点	3
影响力	破坏力	3
温度	湿度	3.1
痛苦	忍辱负重	3.3
偶遇	艳遇	3.4
公众	媒体	3.5
姑娘	青春	3.5
多媒体	设备	3.6
韩	日	3.6
钱	利	3.6
细心	三心二意	3.6
博物馆	剧院	3.7
诵读	歌唱	3.7
阳光	雨露	3.7
竞争	考试	3.8
消灭	灭菌	3.9
饭局	交际	4
媚俗	高雅	4
密码	账号	4
夫人	孩子	4.2
简化	优化	4.5
侵害	性侵	4.7
故事	剧情	5.1
调整	整合	5.1
亲密	缠绵	5.3
创新	发明	6.6
带头	敢为人先	6.6
公约	规章	6.9
高大上	超凡脱俗	7
解闷	排遣	7
放肆	大胆	7.5
合同	协议	7.8
私语	嘀咕	7.8
大概	差不多	8.2
比如	譬如	8.7
友善	清新	1.8
胆小鬼	兔子	1.9
繁荣	泡沫	1.9
智力	想象	2
茶馆	企业	2.3
消极	四大皆空	2.3
爱怜	同病相怜	2.4
激励	缅怀	2.4
灌输	讲解	2.6
车辆	行人	2.7
偏见	认知	2.8
北京市	成都市	3
水果	西红柿	3
艺术家	地理学家	3.2
干涉	管理	3.3
管理	托管	3.3
书籍	图书馆	3.4
框架	组织	3.7
炮兵	海军	3.7
学习	上课	3.7
图书馆	文化宫	3.8
欲望	情欲	3.8
独立	啃老	3.9
同学	同事	3.9
语文	数学	3.9
低贱	崇高	4
海域	渤海湾	4
奖赏	惩罚	4
名称	外号	4.6
霸气	气场	4.7
数据库	信息	4.7
波涛	海水	4.9
唱	颂	5.6
鬼话	谎言	6.3
顺应	附和	6.3
较真儿	死板	6.4
乐观	阳光	6.7
羞辱	辱	6.7
赋予	给予	6.9
伪善	虚伪	6.9
在行	熟练	7
怪异	奇怪	7.3
谦卑	谦逊	7.3
反应	反响	7.5
过时	落伍	7.9
金钱	钱财	8.4
种	栽	8.4
对话框	窗口	8.5
弥补	补偿	8.5
财力	精力	2.2
功夫	素养	2.2
竞争力	鉴赏力	2.2
比赛	团队	2.4
企业家	作曲家	2.5
素菜	牛肉	2.6
报警	报告	2.8
残疾	死亡	2.8
指导	斥责	2.8
利润	成本	3.2
思想	智力	3.2
配合	违抗	3.4
电话	邮件	3.6
公司	代销店	3.8
苹果	香蕉	3.9
盈利	亏损	3.9
公益	善心	4.2
总理	主席	4.2
医生	护士	4.4
疼爱	溺爱	5.4
新闻界	舆论界	5.5
眺望	展望	5.7
发怒	恼羞成怒	6.3
执着	倔强	6.8
牵强	勉强	7.1
散伙	离别	7.1
支柱	骨干	7.2
慰劳	犒赏	7.3
心态	心境	7.5
走神	愣	7.5
诀窍	秘籍	7.6
成果	果实	7.7
恼	怒	7.8
犹豫	踟蹰不前	8
作用	功能	8.2
怜爱	爱怜	8.3
化肥	化学肥料	9.5
物流	顺风	2
皮肤	眼睛	2.5
印象	大脑	2.5
阶层	皇室	2.6
新鲜	空气	2.7
法庭	律师	2.8
文章	理论	3.2
行星	月亮	3.4
日记	文章	3.4
食物	水果	3.5
俗	美	3.6
会员卡	会员	3.8
欧洲	南美洲	3.8
风景	山水	3.9
文体	骚体	3.9
没劲	兴致勃勃	4
新浪	腾讯	4
服装	裙子	4.1
凉快	炎热	4.3
歌舞	迪斯科	4.5
小学生	大中学生	4.5
汽车	越野车	4.8
团购	购买	5
平台	环境	5.3
研讨	争论	5.5
演说	说话	5.5
虚拟	编造	5.9
高风险	风险	6.1
感动	热泪盈眶	6.5
底薪	工资	6.6
扶持	提携	6.9
有效	有用	6.9
圆满	大功告成	7.6
邀请	诚邀	7.7
破烂	破烂不堪	7.8
信誉	信用	7.9
孤单	寂寞	8.1
会见	会晤	8.1
背地里	背后	8.5
实质	本质	8.5
枯萎	凋零	9
互联网	因特网	9.5
课程表	课表	9.5
洁癖	网瘾	1.8
讲座	座位	2
粗鲁	文盲	2.1
女士	白骨精	2.7
电话	设备	3.1
欢迎	迎宾	4
气温	高温	4
成功	失意	4.1
积极	消极	4.1
君子	小人	4.1
认真	马虎	4.1
北大	清华	4.3
国王	女王	4.8
商业	工业	4.8
闺房	卧室	5.9
削减	裁员	6.5
检验	查	6.7
席位	位置	6.7
奖励	记功	6.8
麻利	灵活	7.1
随意	随便	7.4
奋斗	努力	7.5
高兴	兴奋	7.7
猜忌	多疑	8
轻蔑	藐视	8.3
服气	口服心服	8.7
入场券	门票	9
生物钟	地球仪	1.5
年级	成绩	1.8
矩阵	数据	2
杯子	饮料	2.2
杯子	实体	2.2
困倦	生病	2.5
政敌	情敌	2.9
灾区	地震	3.4
生日	蛋糕	3.5
泡沫	肥皂	3.7
电影	导演	3.8
学生	老师	4.1
自动	手动	4.2
大学	中专	4.7
交易	交换	6.5
快乐	欣喜若狂	6.7
邪念	非分之想	6.8
平静	心平气和	7.5
任命	委以重任	7.8
瞎扯	编造	8.2
相信	信赖	8.2
支部	面部	1.4
正义	人民	1.6
转基因	大豆	1.6
白宫	宿舍	1.7
解释	分解	1.7
自卑感	历史感	1.7
距离	速度	2
投资者	收入	2
网络	硬件	2
责任	保险	2
比赛	胜利	2.3
亲近感	荣誉感	2.3
壁橱	衣服	2.4
无用功	效率	2.6
课程	学校	3
学者	学习	3.2
超市	食品	3.3
家属	丈夫	4.5
国企	私企	5.1
勾画	描摹	7
想法	主意	7.9
美	靓	8
牢固	坚不可摧	8.1
凌乱	乱七八糟	8.1
工作	干活儿	8.3
恭贺	恭喜	8.6
拍马屁	谄谀	8.6
PC	计算机	8.7
行	可以	9.2
死党	共和党	1.2
歌剧	工业	1.3
轻浮	轻松	1.8
职业	教育	1.9
物理	质子	2.6
网球	球拍	3.1
缓慢	飞快	4.3
人民币	美元	4.6
青年	中青年	5
境界	意境	7.3
跋扈	骄横	8.3
弘扬	发扬	8.3
恶劣	坏	8.4
更加	愈发	8.4
优秀	出众	8.5
计算机	新闻	1.3
期刊	协会	1.3
纸老虎	狮子	1.3
冷静	荒凉	1.4
乡村	故事	1.4
出路	山路	1.7
能源	危机	1.7
房价	面积	1.9
龙头	老大	8.6
安排	部署	9
文明	吸烟者	1.3
普及	担当	1.4
困难	自怨自艾	1.6
造型	照片	1.7
抠门儿	小气	9
假货	赝品	9.5
拖后腿	拉后腿	9.5
天下	气候	1.2
轻	善	1.3
日程	季度	1.3
宇宙	蚂蚁	1.3
面包店	绿豆粥	1.4
结盟	无理取闹	1.1
免税店	飞机	1.2
逃课	创业	1.2
态度	秋波	1.3
但	但是	9.3
赢	胜	9.8
调查	努力	1.1
玻璃	魔术师	1.1
干扰	上网	1.1
课堂	美食	1.1
情节	黄色	1.1
计算机	电脑	9.9
讲价	打架	1
教授	黄瓜	1
控制	恐高	1
阻力	天花板	1
WTO	世界贸易组织	10
紫禁城	故宫	10
算盘	计算机	4.4
