ID	Similarity_User_Ratings	Google_Sense_Desc	Twitter_Sense_Desc	Google_Sense_Label	Twitter_Sense_Label	Google_Sense_Def	Twitter_Sense_Def	Google_Sense_All	Twitter_Sense_All
284	3.70	0.74	0.78	0.89	0.86	0.98	0.98	0.98	0.98
408	3.65	0.75	0.80	0.91	0.89	0.98	0.98	0.97	0.98
60	3.60	0.64	0.69	0.79	0.83	0.92	0.93	0.91	0.93
55	3.55	0.78	0.76	0.86	0.87	0.97	0.97	0.97	0.97
98	3.55	0.80	0.86	0.77	0.81	0.97	0.98	0.97	0.98
286	3.55	0.62	0.78	0.90	0.84	0.98	0.99	0.98	0.98
465	3.55	0.66	0.69	0.88	0.84	0.97	0.98	0.97	0.98
3	3.50	0.79	0.86	0.88	0.89	0.97	0.97	0.97	0.97
134	3.50	0.75	0.80	0.86	0.84	0.96	0.97	0.96	0.97
94	3.45	0.76	0.78	0.66	0.64	0.95	0.94	0.95	0.94
390	3.45	0.73	0.73	0.94	0.90	0.98	0.98	0.98	0.98
26	3.40	0.72	0.69	0.91	0.93	0.99	0.99	0.98	0.98
48	3.40	0.68	0.73	0.83	0.81	0.97	0.97	0.96	0.97
235	3.40	0.61	0.79	0.91	0.86	0.98	0.99	0.98	0.99
7	3.40	0.75	0.82	0.93	0.91	0.97	0.98	0.97	0.98
31	3.40	0.74	0.72	0.82	0.76	0.94	0.95	0.94	0.95
14	3.35	0.69	0.70	0.78	0.76	0.95	0.95	0.95	0.95
111	3.35	0.69	0.70	0.86	0.84	0.97	0.97	0.96	0.97
149	3.35	0.65	0.76	0.75	0.76	0.89	0.92	0.89	0.93
498	3.35	0.68	0.72	0.72	0.75	0.91	0.94	0.91	0.94
118	3.35	0.74	0.79	0.89	0.88	0.98	0.98	0.98	0.99
220	3.30	0.79	0.89	0.91	0.96	0.99	0.99	0.99	0.99
242	3.30	0.76	0.78	0.89	0.82	0.97	0.98	0.97	0.98
21	3.25	0.73	0.78	0.85	0.76	0.96	0.97	0.96	0.97
108	3.20	0.65	0.64	0.58	0.64	0.90	0.91	0.90	0.90
229	3.20	0.67	0.76	0.82	0.83	0.95	0.97	0.95	0.96
230	3.15	0.72	0.78	0.83	0.79	0.95	0.96	0.95	0.96
445	3.15	0.71	0.72	0.86	0.86	0.98	0.98	0.98	0.98
227	3.10	0.74	0.70	0.80	0.78	0.95	0.96	0.95	0.96
189	3.10	0.72	0.70	0.65	0.70	0.87	0.90	0.86	0.90
237	3.10	0.64	0.74	0.87	0.78	0.97	0.98	0.97	0.98
314	3.10	0.71	0.75	0.92	0.87	0.98	0.98	0.98	0.98
47	3.05	0.67	0.65	0.62	0.65	0.84	0.86	0.85	0.86
104	3.05	0.76	0.80	0.39	0.52	0.91	0.94	0.92	0.94
156	3.05	0.70	0.69	0.62	0.64	0.86	0.88	0.86	0.87
255	3.05	0.71	0.60	0.77	0.77	0.94	0.96	0.95	0.96
5	3.00	0.67	0.76	0.87	0.83	0.96	0.97	0.96	0.97
110	3.00	0.67	0.66	0.75	0.76	0.92	0.94	0.91	0.94
381	3.00	0.65	0.66	0.85	0.87	0.95	0.97	0.95	0.97
221	2.95	0.69	0.69	0.78	0.72	0.96	0.96	0.95	0.96
277	2.90	0.52	0.65	0.78	0.75	0.95	0.96	0.94	0.96
92	2.90	0.59	0.66	0.80	0.78	0.97	0.97	0.97	0.97
193	2.90	0.61	0.66	0.81	0.80	0.96	0.96	0.95	0.96
417	2.85	0.69	0.70	0.90	0.87	0.98	0.98	0.98	0.98
265	2.80	0.52	0.59	0.73	0.74	0.87	0.90	0.88	0.91
400	2.80	0.78	0.82	0.88	0.85	0.96	0.97	0.95	0.97
249	2.75	0.71	0.64	0.59	0.65	0.91	0.93	0.91	0.93
484	2.75	0.76	0.75	0.77	0.81	0.91	0.94	0.91	0.94
2	2.70	0.96	0.95	0.84	0.86	0.98	0.99	0.98	0.99
302	2.70	0.65	0.75	0.44	0.62	0.87	0.90	0.87	0.91
366	2.65	0.59	0.68	0.83	0.79	0.95	0.97	0.94	0.96
204	2.60	0.65	0.67	0.49	0.61	0.94	0.94	0.93	0.94
57	2.55	0.98	0.97	0.89	0.90	0.98	0.99	0.98	0.99
226	2.55	0.51	0.67	0.84	0.79	0.97	0.98	0.97	0.98
264	2.55	0.59	0.60	0.86	0.79	0.94	0.96	0.94	0.96
50	2.50	0.71	0.77	0.79	0.80	0.95	0.98	0.95	0.97
97	2.50	0.62	0.68	0.71	0.64	0.88	0.92	0.88	0.92
122	2.50	0.62	0.70	0.85	0.83	0.97	0.97	0.96	0.97
275	2.50	0.50	0.61	0.37	0.40	0.78	0.84	0.80	0.85
324	2.50	0.52	0.66	0.52	0.68	0.85	0.91	0.84	0.90
78	2.45	0.98	0.97	0.86	0.73	0.99	0.98	0.99	0.98
109	2.45	0.57	0.66	0.27	0.29	0.75	0.82	0.76	0.82
169	2.45	0.65	0.65	0.87	0.82	0.97	0.97	0.97	0.97
317	2.45	0.80	0.84	0.89	0.89	0.97	0.98	0.97	0.98
455	2.45	0.70	0.75	0.86	0.77	0.95	0.97	0.94	0.96
506	2.45	0.78	0.81	0.77	0.79	0.91	0.94	0.92	0.94
296	2.40	0.71	0.73	0.87	0.86	0.94	0.96	0.94	0.96
395	2.40	0.63	0.72	0.83	0.75	0.95	0.97	0.95	0.96
40	2.35	0.73	0.76	0.73	0.70	0.90	0.94	0.89	0.93
236	2.35	0.66	0.64	0.58	0.64	0.89	0.93	0.88	0.92
291	2.35	0.68	0.73	0.72	0.75	0.96	0.97	0.96	0.97
158	2.30	0.64	0.63	0.63	0.63	0.90	0.94	0.90	0.94
346	2.25	0.86	0.91	0.89	0.88	0.97	0.98	0.97	0.98
423	2.25	0.65	0.65	0.80	0.74	0.96	0.96	0.95	0.95
494	2.25	0.69	0.76	0.88	0.87	0.96	0.97	0.96	0.97
44	2.20	0.62	0.70	0.61	0.59	0.91	0.94	0.91	0.94
211	2.20	0.74	0.80	0.64	0.70	0.93	0.93	0.93	0.93
503	2.20	0.65	0.65	0.81	0.73	0.95	0.97	0.95	0.96
316	2.15	0.98	0.98	0.87	0.90	0.98	0.99	0.98	0.99
194	2.15	0.65	0.58	0.32	0.46	0.79	0.83	0.78	0.83
310	2.10	0.64	0.68	0.46	0.55	0.83	0.87	0.84	0.87
65	2.05	0.64	0.65	0.86	0.78	0.95	0.96	0.94	0.96
167	2.05	0.75	0.79	0.48	0.57	0.82	0.88	0.84	0.89
207	2.05	0.60	0.67	0.78	0.77	0.95	0.96	0.94	0.96
271	2.05	0.98	0.98	0.91	0.92	0.99	0.99	0.99	0.99
332	2.05	0.62	0.67	0.72	0.66	0.92	0.95	0.91	0.94
25	2.00	0.73	0.71	0.85	0.81	0.95	0.97	0.95	0.96
191	2.00	0.67	0.65	0.78	0.69	0.92	0.94	0.92	0.94
239	2.00	0.71	0.73	0.62	0.58	0.93	0.95	0.92	0.94
290	1.95	0.67	0.69	0.56	0.62	0.94	0.95	0.93	0.95
301	1.95	0.66	0.69	0.80	0.79	0.97	0.98	0.96	0.98
327	1.95	0.54	0.60	0.24	0.32	0.82	0.86	0.81	0.85
318	1.90	0.73	0.75	0.80	0.80	0.93	0.95	0.93	0.95
68	1.90	0.61	0.69	0.73	0.65	0.91	0.93	0.90	0.93
200	1.90	0.66	0.64	0.41	0.44	0.80	0.87	0.81	0.87
282	1.90	0.67	0.68	0.72	0.70	0.93	0.95	0.92	0.94
505	1.90	0.73	0.77	0.75	0.78	0.93	0.94	0.93	0.94
281	1.85	0.62	0.63	0.86	0.81	0.94	0.96	0.94	0.96
349	1.85	0.61	0.62	0.39	0.44	0.82	0.87	0.82	0.86
105	1.80	0.72	0.80	0.60	0.72	0.87	0.92	0.88	0.93
306	1.80	0.68	0.74	0.68	0.66	0.87	0.90	0.87	0.90
42	1.80	0.81	0.83	0.90	0.94	0.99	0.99	0.99	0.99
257	1.75	0.67	0.67	0.85	0.77	0.95	0.96	0.95	0.95
389	1.75	0.60	0.58	0.24	0.32	0.70	0.76	0.71	0.76
80	1.70	0.67	0.75	0.58	0.67	0.94	0.96	0.93	0.95
103	1.70	0.69	0.72	0.72	0.66	0.91	0.94	0.91	0.93
261	1.65	0.45	0.57	0.65	0.68	0.92	0.95	0.92	0.94
321	1.65	0.50	0.60	0.58	0.65	0.92	0.94	0.91	0.93
326	1.65	0.75	0.72	0.67	0.61	0.93	0.95	0.93	0.95
329	1.65	0.89	0.85	0.52	0.71	0.96	0.96	0.95	0.96
56	1.60	0.83	0.76	0.63	0.62	0.79	0.87	0.80	0.87
485	1.55	0.64	0.64	0.60	0.65	0.90	0.94	0.90	0.94
19	1.50	0.61	0.68	0.68	0.67	0.93	0.95	0.92	0.94
53	1.50	0.67	0.76	0.53	0.63	0.92	0.94	0.91	0.94
123	1.50	0.56	0.54	0.34	0.40	0.73	0.78	0.74	0.77
244	1.50	0.70	0.78	0.78	0.75	0.95	0.97	0.95	0.97
58	1.45	0.68	0.61	0.57	0.59	0.82	0.89	0.81	0.89
268	1.45	0.59	0.61	0.39	0.41	0.76	0.79	0.78	0.80
234	1.45	0.63	0.59	0.32	0.35	0.73	0.76	0.73	0.75
245	1.45	0.70	0.73	0.73	0.72	0.93	0.95	0.93	0.95
347	1.45	0.76	0.80	0.67	0.65	0.89	0.92	0.89	0.91
426	1.45	0.55	0.61	0.66	0.68	0.93	0.95	0.92	0.94
178	1.40	0.70	0.66	0.50	0.55	0.79	0.88	0.79	0.88
361	1.40	0.50	0.62	0.51	0.53	0.89	0.91	0.88	0.91
413	1.40	0.62	0.57	0.26	0.21	0.61	0.67	0.64	0.67
434	1.40	0.68	0.64	0.65	0.63	0.84	0.88	0.84	0.88
73	1.35	0.71	0.68	0.57	0.66	0.85	0.91	0.85	0.91
77	1.35	0.61	0.66	0.27	0.35	0.71	0.76	0.71	0.75
276	1.35	0.70	0.71	0.73	0.74	0.93	0.95	0.92	0.95
131	1.30	0.71	0.77	0.60	0.68	0.87	0.93	0.89	0.93
203	1.30	0.69	0.72	0.50	0.61	0.84	0.91	0.84	0.91
365	1.30	0.74	0.71	0.77	0.78	0.96	0.96	0.96	0.96
74	1.25	0.57	0.68	0.35	0.45	0.80	0.88	0.82	0.89
96	1.25	0.52	0.50	0.34	0.39	0.73	0.78	0.74	0.77
312	1.25	0.65	0.71	0.68	0.66	0.94	0.95	0.93	0.95
414	1.25	0.76	0.82	0.59	0.72	0.86	0.91	0.86	0.92
422	1.25	0.59	0.64	0.65	0.66	0.92	0.94	0.91	0.94
442	1.25	0.95	0.97	0.92	0.94	0.99	0.99	0.99	0.99
140	1.20	0.63	0.73	0.64	0.63	0.92	0.93	0.90	0.92
177	1.20	0.72	0.71	0.78	0.74	0.94	0.96	0.94	0.95
64	1.20	0.57	0.63	0.34	0.35	0.73	0.78	0.73	0.77
70	1.20	0.58	0.58	0.20	0.37	0.74	0.79	0.75	0.79
406	1.20	0.49	0.54	0.28	0.35	0.73	0.77	0.73	0.75
431	1.20	0.46	0.54	0.65	0.68	0.93	0.94	0.92	0.94
198	1.15	0.58	0.64	0.65	0.58	0.88	0.91	0.88	0.90
222	1.15	0.56	0.69	0.35	0.53	0.85	0.90	0.83	0.89
380	1.15	0.51	0.55	0.54	0.60	0.92	0.93	0.91	0.92
420	1.15	0.78	0.79	0.70	0.62	0.89	0.93	0.88	0.92
54	1.10	0.59	0.63	0.54	0.54	0.81	0.87	0.81	0.87
91	1.10	0.62	0.56	0.60	0.56	0.90	0.93	0.89	0.92
168	1.10	0.75	0.72	0.56	0.61	0.86	0.91	0.86	0.91
246	1.10	0.74	0.76	0.75	0.74	0.93	0.95	0.92	0.95
263	1.10	0.59	0.65	0.57	0.62	0.86	0.91	0.86	0.91
30	1.05	0.57	0.63	0.32	0.38	0.72	0.75	0.73	0.75
67	1.05	0.69	0.65	0.46	0.52	0.84	0.89	0.83	0.88
139	1.05	0.55	0.54	0.56	0.66	0.90	0.93	0.89	0.92
171	1.05	0.73	0.74	0.60	0.55	0.88	0.92	0.89	0.92
233	1.05	0.67	0.62	0.25	0.33	0.80	0.85	0.80	0.84
279	1.05	0.73	0.73	0.49	0.52	0.84	0.89	0.84	0.89
367	1.05	0.59	0.62	0.38	0.34	0.74	0.82	0.74	0.81
416	1.05	0.70	0.76	0.79	0.77	0.96	0.97	0.95	0.97
462	1.05	0.65	0.68	0.71	0.72	0.91	0.94	0.91	0.94
472	1.05	0.65	0.58	0.60	0.63	0.87	0.88	0.86	0.87
496	1.05	0.66	0.66	0.18	0.33	0.61	0.68	0.69	0.75
475	1.05	0.65	0.65	0.62	0.60	0.84	0.89	0.83	0.89
84	1.00	0.50	0.47	0.56	0.63	0.91	0.93	0.90	0.92
144	1.00	0.57	0.59	0.42	0.41	0.76	0.83	0.76	0.82
159	1.00	0.59	0.68	0.42	0.56	0.79	0.87	0.79	0.87
214	1.00	0.69	0.67	0.66	0.66	0.85	0.90	0.85	0.90
433	1.00	0.57	0.61	0.45	0.59	0.88	0.92	0.87	0.91
467	1.00	0.52	0.52	0.46	0.55	0.84	0.89	0.83	0.88
95	0.95	0.59	0.60	0.19	0.36	0.76	0.82	0.76	0.82
350	0.95	0.63	0.66	0.49	0.50	0.84	0.90	0.84	0.90
419	0.95	0.67	0.73	0.31	0.40	0.75	0.79	0.75	0.79
100	0.95	0.56	0.52	0.58	0.55	0.85	0.90	0.84	0.89
293	0.95	0.70	0.69	0.32	0.44	0.83	0.88	0.82	0.87
404	0.95	0.79	0.80	0.69	0.61	0.88	0.93	0.88	0.92
93	0.90	0.69	0.72	0.71	0.64	0.92	0.93	0.91	0.93
344	0.90	0.42	0.48	0.25	0.39	0.75	0.79	0.74	0.78
424	0.90	0.46	0.57	0.34	0.42	0.75	0.80	0.75	0.79
449	0.90	0.48	0.55	0.34	0.36	0.72	0.76	0.73	0.76
502	0.90	0.63	0.61	0.15	0.25	0.74	0.82	0.74	0.81
39	0.90	0.44	0.51	0.49	0.54	0.85	0.89	0.83	0.87
133	0.90	0.69	0.61	0.67	0.66	0.89	0.92	0.89	0.91
196	0.90	0.57	0.57	0.38	0.44	0.75	0.83	0.73	0.81
61	0.85	0.70	0.62	0.37	0.35	0.74	0.82	0.74	0.81
138	0.85	0.62	0.62	0.34	0.50	0.79	0.86	0.78	0.86
161	0.85	0.64	0.75	0.60	0.59	0.89	0.91	0.88	0.91
186	0.85	0.64	0.64	0.26	0.33	0.77	0.84	0.76	0.83
260	0.85	0.67	0.69	0.55	0.53	0.81	0.85	0.80	0.84
262	0.85	0.73	0.69	0.46	0.50	0.85	0.91	0.85	0.90
373	0.85	0.75	0.74	0.71	0.70	0.92	0.95	0.92	0.94
378	0.85	0.62	0.67	0.60	0.63	0.87	0.92	0.88	0.92
117	0.80	0.66	0.53	0.47	0.47	0.74	0.82	0.74	0.82
141	0.80	0.57	0.61	0.38	0.51	0.81	0.88	0.79	0.87
188	0.80	0.59	0.60	0.51	0.55	0.83	0.89	0.82	0.88
362	0.80	0.59	0.56	0.47	0.62	0.87	0.92	0.85	0.91
374	0.80	0.67	0.59	0.57	0.58	0.85	0.89	0.84	0.89
446	0.80	0.58	0.69	0.56	0.61	0.91	0.92	0.90	0.92
87	0.75	0.53	0.57	0.45	0.57	0.79	0.87	0.78	0.86
99	0.75	0.69	0.73	0.55	0.47	0.87	0.88	0.86	0.88
157	0.75	0.71	0.64	0.36	0.40	0.73	0.78	0.74	0.79
160	0.75	0.52	0.55	0.31	0.38	0.68	0.75	0.69	0.75
163	0.75	0.53	0.60	0.29	0.33	0.73	0.82	0.72	0.81
165	0.75	0.64	0.67	0.45	0.50	0.82	0.90	0.81	0.89
250	0.75	0.67	0.73	0.48	0.69	0.89	0.94	0.88	0.93
299	0.75	0.61	0.63	0.21	0.24	0.76	0.80	0.75	0.79
300	0.75	0.52	0.62	0.22	0.39	0.75	0.83	0.74	0.82
409	0.75	0.56	0.62	0.30	0.37	0.75	0.81	0.75	0.80
454	0.75	0.65	0.69	0.61	0.63	0.86	0.90	0.86	0.90
180	0.70	0.50	0.67	0.64	0.65	0.88	0.91	0.87	0.91
399	0.70	0.67	0.65	0.65	0.68	0.92	0.93	0.92	0.93
456	0.70	0.70	0.73	0.61	0.60	0.90	0.92	0.89	0.92
458	0.70	0.66	0.66	0.67	0.62	0.93	0.95	0.93	0.95
12	0.70	0.72	0.71	0.80	0.72	0.94	0.95	0.93	0.95
17	0.70	0.71	0.69	0.74	0.62	0.87	0.90	0.86	0.90
72	0.70	0.54	0.60	0.20	0.35	0.76	0.81	0.75	0.81
128	0.70	0.62	0.61	0.40	0.39	0.73	0.79	0.73	0.79
162	0.70	0.41	0.57	0.25	0.42	0.74	0.82	0.72	0.81
166	0.70	0.56	0.65	0.39	0.43	0.76	0.83	0.74	0.82
175	0.70	0.66	0.64	0.53	0.53	0.87	0.92	0.86	0.91
338	0.70	0.65	0.64	0.58	0.70	0.87	0.93	0.87	0.92
357	0.70	0.64	0.70	0.59	0.62	0.86	0.90	0.86	0.90
479	0.70	0.65	0.73	0.53	0.52	0.87	0.91	0.87	0.90
1	0.65	0.83	0.83	0.73	0.76	0.94	0.95	0.94	0.95
106	0.65	0.72	0.79	0.34	0.44	0.72	0.82	0.72	0.82
147	0.65	0.54	0.55	0.38	0.52	0.80	0.88	0.79	0.87
174	0.65	0.53	0.61	0.50	0.64	0.88	0.92	0.87	0.91
185	0.65	0.69	0.75	0.34	0.59	0.75	0.87	0.75	0.87
190	0.65	0.59	0.59	0.18	0.34	0.74	0.85	0.72	0.85
223	0.65	0.58	0.61	0.34	0.39	0.75	0.84	0.73	0.82
303	0.65	0.49	0.63	0.59	0.63	0.87	0.90	0.86	0.90
308	0.65	0.61	0.55	0.36	0.37	0.73	0.81	0.73	0.81
341	0.65	0.61	0.70	0.42	0.43	0.80	0.83	0.78	0.82
353	0.65	0.64	0.61	0.30	0.25	0.72	0.81	0.72	0.80
421	0.65	0.62	0.66	0.13	0.35	0.74	0.81	0.74	0.80
336	0.65	0.59	0.66	0.27	0.36	0.72	0.81	0.75	0.82
348	0.60	0.57	0.53	0.39	0.41	0.76	0.84	0.76	0.83
376	0.60	0.72	0.78	0.45	0.51	0.78	0.80	0.78	0.80
398	0.60	0.74	0.75	0.60	0.61	0.90	0.92	0.89	0.91
405	0.60	0.72	0.70	0.54	0.60	0.83	0.90	0.83	0.89
478	0.60	0.67	0.61	0.41	0.40	0.72	0.81	0.73	0.81
6	0.60	0.63	0.65	0.31	0.42	0.81	0.88	0.82	0.89
18	0.60	0.68	0.70	0.64	0.65	0.89	0.92	0.89	0.92
113	0.60	0.76	0.74	0.61	0.65	0.87	0.90	0.87	0.90
114	0.60	0.68	0.72	0.53	0.53	0.82	0.86	0.81	0.85
152	0.60	0.65	0.69	0.53	0.58	0.86	0.90	0.86	0.90
176	0.60	0.59	0.61	0.58	0.55	0.90	0.92	0.89	0.92
201	0.60	0.75	0.73	0.53	0.63	0.90	0.91	0.89	0.91
202	0.60	0.62	0.72	0.37	0.57	0.89	0.92	0.88	0.92
206	0.60	0.72	0.69	0.52	0.62	0.89	0.92	0.88	0.91
215	0.60	0.55	0.60	0.55	0.61	0.88	0.91	0.87	0.91
225	0.60	0.63	0.69	0.22	0.28	0.83	0.87	0.83	0.87
354	0.60	0.57	0.63	0.62	0.64	0.88	0.91	0.88	0.90
369	0.60	0.63	0.72	0.41	0.47	0.83	0.86	0.83	0.86
371	0.60	0.55	0.60	0.31	0.33	0.79	0.84	0.78	0.82
435	0.60	0.68	0.67	0.55	0.55	0.84	0.90	0.83	0.89
493	0.60	0.61	0.56	0.28	0.33	0.65	0.78	0.65	0.77
507	0.60	0.71	0.74	0.66	0.71	0.88	0.91	0.88	0.91
16	0.55	0.50	0.61	0.24	0.29	0.68	0.79	0.67	0.78
116	0.55	0.62	0.69	0.31	0.33	0.74	0.81	0.73	0.81
172	0.55	0.61	0.63	0.21	0.33	0.74	0.79	0.73	0.77
280	0.55	0.53	0.57	0.55	0.52	0.80	0.86	0.79	0.85
309	0.55	0.62	0.68	0.65	0.68	0.92	0.93	0.92	0.93
320	0.55	0.62	0.70	0.58	0.74	0.94	0.94	0.93	0.94
345	0.55	0.51	0.57	0.55	0.64	0.86	0.89	0.85	0.88
410	0.55	0.76	0.72	0.34	0.34	0.83	0.88	0.83	0.87
427	0.55	0.77	0.88	0.67	0.73	0.92	0.94	0.92	0.94
466	0.55	0.52	0.56	0.47	0.68	0.88	0.93	0.87	0.92
492	0.55	0.63	0.65	0.44	0.46	0.80	0.84	0.79	0.83
33	0.50	0.63	0.57	0.44	0.44	0.76	0.84	0.77	0.83
89	0.50	0.51	0.51	0.17	0.32	0.74	0.80	0.73	0.79
164	0.50	0.67	0.69	0.29	0.33	0.76	0.86	0.75	0.85
181	0.50	0.75	0.71	0.59	0.62	0.90	0.92	0.90	0.92
197	0.50	0.50	0.53	0.13	0.19	0.74	0.79	0.73	0.78
205	0.50	0.62	0.62	0.43	0.54	0.80	0.86	0.79	0.86
210	0.50	0.55	0.56	0.47	0.50	0.77	0.85	0.78	0.84
253	0.50	0.75	0.73	0.68	0.64	0.94	0.96	0.94	0.95
269	0.50	0.61	0.62	0.56	0.58	0.84	0.89	0.83	0.88
295	0.50	0.59	0.70	0.58	0.66	0.86	0.91	0.86	0.91
333	0.50	0.60	0.58	0.52	0.59	0.80	0.88	0.79	0.87
391	0.50	0.66	0.62	0.35	0.36	0.74	0.81	0.74	0.81
461	0.50	0.68	0.68	0.47	0.61	0.85	0.89	0.84	0.89
488	0.50	0.53	0.61	0.48	0.56	0.83	0.88	0.82	0.87
37	0.45	0.52	0.51	0.45	0.58	0.76	0.86	0.76	0.86
213	0.45	0.55	0.60	0.56	0.66	0.90	0.92	0.89	0.92
252	0.45	0.45	0.59	0.56	0.67	0.84	0.89	0.83	0.88
270	0.45	0.61	0.60	0.21	0.36	0.74	0.81	0.74	0.81
370	0.45	0.62	0.67	0.48	0.60	0.87	0.92	0.86	0.91
372	0.45	0.68	0.73	0.52	0.53	0.85	0.89	0.85	0.88
9	0.45	0.65	0.71	0.68	0.63	0.91	0.92	0.91	0.92
59	0.45	0.51	0.59	0.56	0.66	0.90	0.92	0.88	0.91
62	0.45	0.68	0.75	0.58	0.62	0.89	0.91	0.88	0.90
81	0.45	0.50	0.53	0.18	0.32	0.69	0.77	0.68	0.77
136	0.45	0.64	0.63	0.35	0.49	0.69	0.79	0.70	0.80
209	0.45	0.69	0.70	0.34	0.46	0.69	0.80	0.70	0.80
325	0.45	0.69	0.63	0.46	0.48	0.82	0.86	0.83	0.86
335	0.45	0.63	0.66	0.54	0.58	0.88	0.91	0.87	0.90
339	0.45	0.56	0.61	0.56	0.60	0.86	0.91	0.85	0.90
394	0.45	0.59	0.51	0.56	0.52	0.78	0.83	0.78	0.82
457	0.45	0.50	0.58	0.21	0.41	0.79	0.88	0.77	0.87
22	0.40	0.74	0.67	0.30	0.43	0.69	0.79	0.70	0.79
35	0.40	0.71	0.72	0.60	0.55	0.87	0.90	0.86	0.90
45	0.40	0.53	0.61	0.34	0.54	0.81	0.90	0.80	0.90
75	0.40	0.67	0.69	0.11	0.30	0.68	0.76	0.71	0.78
274	0.40	0.63	0.65	0.44	0.51	0.79	0.87	0.78	0.86
298	0.40	0.62	0.65	0.67	0.64	0.90	0.93	0.89	0.92
304	0.40	0.61	0.68	0.53	0.55	0.89	0.92	0.88	0.91
328	0.40	0.56	0.55	0.56	0.52	0.84	0.89	0.82	0.87
351	0.40	0.72	0.73	0.49	0.42	0.86	0.89	0.86	0.89
412	0.40	0.65	0.65	0.51	0.52	0.81	0.85	0.81	0.85
437	0.40	0.56	0.50	0.31	0.37	0.78	0.83	0.78	0.82
452	0.40	0.53	0.61	0.53	0.53	0.85	0.89	0.84	0.88
153	0.40	0.79	0.76	0.55	0.55	0.88	0.90	0.87	0.90
294	0.40	0.71	0.75	0.62	0.63	0.92	0.94	0.91	0.93
112	0.35	0.69	0.74	0.25	0.33	0.75	0.82	0.74	0.81
137	0.35	0.46	0.60	0.21	0.42	0.72	0.82	0.70	0.81
254	0.35	0.64	0.62	0.34	0.42	0.76	0.82	0.75	0.81
352	0.35	0.77	0.70	0.62	0.60	0.91	0.93	0.91	0.92
360	0.35	0.57	0.61	0.49	0.57	0.84	0.89	0.83	0.88
385	0.35	0.58	0.67	0.46	0.52	0.86	0.91	0.85	0.90
432	0.35	0.66	0.74	0.47	0.57	0.92	0.94	0.91	0.93
440	0.35	0.63	0.58	0.48	0.50	0.82	0.87	0.81	0.86
447	0.35	0.66	0.74	0.52	0.68	0.93	0.96	0.92	0.96
52	0.30	0.67	0.70	0.15	0.22	0.62	0.73	0.64	0.72
127	0.30	0.55	0.56	0.47	0.57	0.78	0.86	0.77	0.85
11	0.30	0.65	0.71	0.66	0.61	0.88	0.91	0.88	0.90
13	0.30	0.66	0.69	0.58	0.60	0.88	0.89	0.87	0.89
15	0.30	0.61	0.66	0.54	0.56	0.85	0.87	0.84	0.87
76	0.30	0.58	0.66	0.33	0.46	0.72	0.81	0.71	0.81
107	0.30	0.57	0.60	0.19	0.30	0.68	0.76	0.68	0.76
182	0.30	0.57	0.62	0.38	0.50	0.87	0.92	0.86	0.91
224	0.30	0.61	0.69	0.50	0.48	0.80	0.85	0.80	0.85
231	0.30	0.52	0.49	0.26	0.43	0.74	0.83	0.73	0.82
266	0.30	0.68	0.76	0.28	0.46	0.74	0.81	0.74	0.81
322	0.30	0.81	0.76	0.24	0.35	0.69	0.80	0.69	0.80
334	0.30	0.66	0.70	0.38	0.52	0.66	0.78	0.68	0.80
342	0.30	0.60	0.63	0.10	0.22	0.67	0.80	0.67	0.80
356	0.30	0.72	0.69	0.52	0.48	0.88	0.92	0.88	0.91
