backpack	daypack/kitbag/kit_bag
dessert	cake/ambrosia/baked_alaska/blancmange/charlotte/compote/fruit_compote/dumpling/flan/frozen_dessert/junket/mold/mould/mousse/pavlova/peach_melba/pudding/pud/pudding/syllabub/sillabub/tiramisu/whip/zabaglione/sabayon/charlotte_russe/apple_dumpling/frozen_custard/soft_ice_cream/frozen_pudding/frozen_yogurt/ice-cream_cake/icebox_cake/ice-cream_cone/ice-cream_sundae/sundae/ice/frappe/ice_cream/icecream/ice_lolly/lolly/lollipop/popsicle/ice_milk/parfait/sherbert/sherbet/snowball/snowball/split/chocolate_mousse/trifle/brown_betty/chocolate_pudding/duff/plum_duff/flummery/nesselrode/nesselrode_pudding/pease_pudding/plum_pudding/christmas_pudding/roly-poly/roly-poly_pudding/steamed_pudding/suet_pudding/tapioca_pudding/vanilla_pudding/prune_whip/water_ice/sorbet/chocolate_ice_cream/neapolitan_ice_cream/peach_ice_cream/strawberry_ice_cream/tutti-frutti/vanilla_ice_cream/banana_split/tipsy_cake/spotted_dick/choc-ice
dress	gown/caftan/kaftan/chemise/sack/shift/coatdress/cocktail_dress/sheath/dirndl/gown/jumper/pinafore/pinny/kirtle/morning/evening/muumuu/polonaise/sari/saree/shirtdress/strapless/sundress
drum	tambourine/bass_drum/gran_casa/bongo/bongo_drum/snare_drum/snare/side_drum/tabor/tabour/tambour/tenor_drum/tom-tom/timbrel/djembe/doumbek/darbuka
emotion	anger/choler/ire/anxiety/conditioned_emotional_response/cer/conditioned_emotion/emotional_state/spirit/fear/fearfulness/fright/fear/reverence/awe/veneration/hate/hatred/joy/joyousness/joyfulness/love/annoyance/chafe/vexation/bad_temper/ill_temper/dander/hackles/fury/rage/madness/huffiness/indignation/outrage/infuriation/enragement/umbrage/offense/offence/angst/anxiousness/disquiet/concern/care/fear/discomfiture/discomposure/disconcertion/disconcertment/edginess/uneasiness/inquietude/disquietude/insecurity/jitteriness/jumpiness/nervousness/restiveness/scruple/qualm/misgiving/sinking/sinking_feeling/worry/trouble/ecstasy/rapture/transport/exaltation/raptus/embarrassment/gratification/satisfaction/happiness/felicity/state/unhappiness/alarm/dismay/consternation/apprehension/apprehensiveness/dread/creeps/frisson/shiver/chill/quiver/shudder/thrill/tingle/horror/hysteria/intimidation/panic/terror/affright/scare/panic_attack/stage_fright/timidity/timidness/timorousness/abhorrence/abomination/detestation/execration/loathing/odium/despisal/despising/hostility/enmity/ill_will/malevolence/malignity/misanthropy/misogamy/misogyny/misogynism/misology/misoneism/misopedia/murderousness/elation/high_spirits/lightness/exhilaration/excitement/exuberance/exultation/jubilance/jubilancy/jubilation/agape/agape/agape_love/amorousness/enamoredness/ardor/ardour/benevolence/devotion/devotedness/filial_love/heartstrings/lovingness/caring/loyalty/puppy_love/calf_love/crush/infatuation/worship/adoration/aggravation/exasperation/displeasure/frustration/harassment/torment/pique/temper/irritation/fit/tantrum/scene/conniption/irascibility/short_temper/spleen/quick_temper/lividity/wrath/dudgeon/high_dudgeon/willies/comfort/quality_of_life/blessedness/beatitude/beatification/radiance/embitterment/sadness/sorrow/sorrowfulness/chill/pall/foreboding/premonition/presentiment/boding/gloom/gloominess/somberness/sombreness/suspense/trepidation/swivet/cold_feet/diffidence/self-doubt/self-distrust/shyness/aggression/aggressiveness/animosity/animus/bad_blood/antagonism/belligerence/belligerency/class_feeling/resentment/bitterness/gall/rancor/rancour/maleficence/malice/maliciousness/spite/spitefulness/venom/vindictiveness/vengefulness/misocainea/euphoria/euphory/bang/boot/charge/rush/flush/thrill/kick/intoxication/titillation/triumph/beneficence/warmheartedness/warmth/nirvana/enlightenment/mourning/bereavement/poignance/poignancy/presage/shadow/hesitance/hesitancy/unassertiveness/warpath/envy/enviousness/grudge/score/grievance/heartburning/sulkiness/huffishness/covetousness/jealousy/green-eyed_monster/penis_envy
flask	thermos/ampulla/canteen/erlenmeyer_flask/hipflask/pocket_flask/round-bottom_flask/vacuum_flask/vacuum_bottle/dewar_flask/dewar/thermos_bottle/thermos_flask
guitar	ukulele/bass/bass_guitar/acoustic_guitar/cittern/cithern/cither/citole/gittern/electric_guitar/hawaiian/steel/uke
gun	rifle/air/airgun/antiaircraft/flak/flack/pom-pom/ack-ack/breechloader/cannon/firearm/piece/small-arm/gas/minute/quaker/set/spring/whaling
jewel	diamond/ruby/pearl/emerald/sapphire
jewelry	bracelet/bead/bijou/bling/bling_bling/bangle/clip/cufflink/earring/jewel/gem/precious_stone/necklace/pin/ring/band/tie_clip/bugle/anklet/ankle_bracelet/armilla/pendant_earring/drop_earring/eardrop/crown_jewel/diamond/emerald/pearl/ruby/sapphire/solitaire/chain/chain/string/strand/choker/collar/dog_collar/neckband/brooch/broach/breastpin/scatter_pin/stickpin/tie_tack/tiepin/scarfpin/annulet/engagement_ring/mourning_ring/ringlet/signet_ring/seal_ring/wedding_ring/wedding_band/ice/sparkler/seed_pearl/sunburst
mixer	blender/liquidizer/liquidiser/eggbeater/eggwhisk/electric/whisk
month	january/february/march/april/may/june/july/august/september/october/november/december/jan/feb/mar/apr/jun/jul/aug/sep/oct/nov/dec
oven	broiler/dutch_oven/gas_oven/rotisserie/tandoor
painting	watercolor/abstraction/cityscape/daub/distemper/finger-painting/icon/ikon/landscape/miniature/illumination/monochrome/mural/wall/nude/nude_painting/oil/pentimento/sand/seascape/waterscape/semi-abstraction/still_life/tanka/water-color/watercolour/water-colour/fresco/graffitti
poem	haiku/abecedarius/alcaic/alcaic_verse/ballad/lay/ballade/blank_verse/elegy/lament/epic_poem/heroic_poem/epic/epos/free_verse/vers_libre/lyric/lyric_poem/rondeau/rondel/sonnet/tanka/terza_rima/verse/rhyme/versicle
railway	monorail/cable/funicular/cog/rack/elevated/el/overhead/metro/tube/underground/subway/rail
season	spring/harvest/haying/fall/autumn/springtime/summer/summertime/winter/wintertime/rainy/dry/growing/seedtime/sheepshearing/holiday/high/peak/off-season/preseason/baseball/basketball/exhibition/concert/fishing/football/hockey/hunting/social/theatrical/whitsun/whitsuntide/whitweek
seat	chair/bench/box/ottoman/pouf/pouffe/puff/hassock/sofa/couch/lounge/stool/toilet
shelf	bookshelf/hob/mantel/mantelpiece/mantle/mantlepiece/chimneypiece/overmantel/berm
shirt	polo/camise/dashiki/daishiki/dress/evening/hair/jersey/t-shirt/tee/kurta/sport/tank/work-shirt
shoes	sneakers/anklet/baby_shoes/balmoral/blucher/bowling_shoes/brogan/brogue/clodhopper/work_shoes/calceus/chopine/platform_shoes/chukka/boots/cleats/congress_shoes/gaiters/flipper_shoes/fin_shoes/ghillie/gillie/gym_shoes/tennis_shoes/loafers/moccasins/mocassins/oxford_shoes/pump_shoes/running_shoes/sabot/wooden_shoes/sandals/slingbacks/sling_shoes/walker_shoes/walking_shoes/wedgie/wing_shoes/tip_shoes/stiletto/heeled
sofa	divan/diwan/convertible_sofa/daybed/loveseat/settee/squab
song	lullaby/religious_song/anthem/aria/ballad/lay/barcarole/barcarolle/ditty/dirge/coronach/lament/requiem/threnody/drinking_song/folk_song/folksong/folk_ballad/lied/love_song/love-song/cradlesong/berceuse/oldie/golden_oldie/partsong/prothalamion/prothalamium/roundelay/scolion/banquet_song/serenade/torch_song/work_song
spice	pepper/allspice/ajwain/cumin/caraway_seed/cardamom/cassia/cayenne/celery_seeds/chile_pepper/chile/cinnamon/clove/coriander/dill/fennel/fenugreek/frankincense/galangal/garlic/ginger/horseradish/jalapeño/juniper/licorice/mace/mustard/nutmeg/onion/paprika/peppercorns/saffron/savory/sesame/anise/sumac/tabasco/tamarind/turmeric/five_spice_powder/ginger/powdered_ginger/chinese_anise/star_anise/star_aniseed
sweater	turtleneck/cardigan/pullover/slipover/turtle/polo-neck
tool	rake/abrader/abradant/bender/clincher/comb/cutting_implement/drill/eolith/fork/gang/garden_tool/lawn_tool/grapnel/grapple/grappler/grappling_hook/grappling_iron/hack/hand_tool/hoe/jack/jaws_of_life/neolith/paleolith/pestle/muller/pounder/plow/plough/power_tool/punch/puncher/ram/rounder/saw_set/shaping_tool/strickle/stylus/style/tamp/tamper/tamping_bar/tap/upset/swage
toy	doll/ball/balloon/cockhorse/dolly/dollhouse/house/frisbee/hobby/hobbyhorse/rocking/horse/hula-hoop/jack-in-the-box/jungle/gym/jumping/jack/kaleidoscope/kite/lego/meccano/shooter/pinata/pinwheel/playhouse/wendy/pogo/stick/popgun/rattle/sandbox/sandpile/sandpit/seesaw/teeter/teeter-totter/teetertotter/teeterboard/tilting/board/dandle/slide/playground/sliding/slingshot/sling/catapult/stick/horse/swing/teddy/bear/top/whirligig/teetotum/spinning/train/water_pistol/gun/squirt/squirter/yo-yo
trousers	jeans/bellbottom_trousers/bell-bottoms/bellbottom_pants/breeches/knee_breeches/knee_pants/knickerbockers/knickers/chino/churidars/cords/corduroys/flannel/gabardine/tweed/white/jean/blue_jean/denim/jodhpurs/jodhpur_breeches/riding_breeches/long_trousers/long_pants/pajama/pyjama/pantaloon/pedal_pusher/toreador_pants/salwar/shalwar/short_pants/shorts/trunks/slacks/stretch_pants/sweat_pants/sweatpants/trews/britches/buckskins/plus_fours/trunk_hose/levi's/levis/bermuda_shorts/jamaica_shorts/hot_pants/lederhosen
weapon	gun/bow/bow/arrow/dart/knucks/knuckles/flamethrower/knife/missile/pike/projectile/slasher/sling/spear/lance/shaft/stun/baton/sword/blade/brand/steel/tomahawk/hatchet/fire
weekday	monday/workday/working_day/work_day/feria/mon/tuesday/tues/wednesday/midweek/wed/thursday/th/friday/fri/saturday/sabbatum/sat
