ISO 639-3	ISO 639-2	ISO 639-1	Language Name
atq			Aralle-Tabulahan
atr			Waimiri-Atroari
ats			Gros Ventre
att			Pamplona Atta
atu			Reel
atv			Northern Altai
atw			Atsugewi
atx			Arutani
aty			Aneityum
atz			Arta
aua			Asumboa
aub			Alugu
auc			Waorani
aud			Anuta
aue			=/Kx'au//'ein
aug			Aguna
auh			Aushi
aui			Anuki
auj			Awjilah
auk			Heyo
aul			Aulua
aum			Asu (Nigeria)
aun			Molmo One
auo			Auyokawa
aup			Makayam
auq			Anus
aur			Aruek
aut			Austral
auu			Auye
auw			Awyi
aux			Aurá
auy			Awiyaana
auz			Uzbeki Arabic
ava	ava	av	Avaric
avb			Avau
avd			Alviri-Vidari
ave	ave	ae	Avestan
avi			Avikam
avk			Kotava
avl			Eastern Egyptian Bedawi Arabic
avn			Avatime
avo			Agavotaguerra
avs			Aushiri
avt			Au
avu			Avokaya
avv			Avá-Canoeiro
awa	awa		Awadhi
awb			Awa (Papua New Guinea)
awc			Cicipu
awe			Awetí
awh			Awbono
awi			Aekyom
awk			Awabakal
awm			Arawum
awn			Awngi
awo			Awak
awr			Awera
aws			South Awyu
awt			Araweté
awu			Central Awyu
awv			Jair Awyu
aww			Awun
awx			Awara
awy			Edera Awyu
axb			Abipon
axg			Mato Grosso Arára
axk			Yaka (Central African Republic)
axm			Middle Armenian
axx			Xaragure
aya			Awar
ayb			Ayizo Gbe
ayc			Southern Aymara
ayd			Ayabadhu
aye			Ayere
ayg			Ginyanga
ayh			Hadrami Arabic
ayi			Leyigha
ayk			Akuku
ayl			Libyan Arabic
aym	aym	ay	Aymara
ayn			Sanaani Arabic
ayo			Ayoreo
ayp			North Mesopotamian Arabic
ayq			Ayi (Papua New Guinea)
ayr			Central Aymara
ays			Sorsogon Ayta
ayt			Magbukun Ayta
ayu			Ayu
ayx			Ayi (China)
ayy			Tayabas Ayta
ayz			Mai Brat
aza			Azha
azb			South Azerbaijani
aze	aze	az	Azerbaijani
azg			San Pedro Amuzgos Amuzgo
azj			North Azerbaijani
azm			Ipalapa Amuzgo
azo			Awing
azt			Faire Atta
azz			Highland Puebla Nahuatl
baa			Babatana
bab			Bainouk-Gunyuño
bac			Badui
bae			Baré
baf			Nubaca
bag			Tuki
bah			Bahamas Creole English
baj			Barakai
bak	bak	ba	Bashkir
bal	bal		Baluchi
bam	bam	bm	Bambara
ban	ban		Balinese
bao			Waimaha
bap			Bantawa
bar			Bavarian
bas	bas		Basa (Cameroon)
bau			Bada (Nigeria)
bav			Vengo
baw			Bambili-Bambui
bax			Bamun
bay			Batuley
baz			Tunen
bba			Baatonum
bbb			Barai
bbc			Batak Toba
bbd			Bau
bbe			Bangba
bbf			Baibai
bbg			Barama
bbh			Bugan
bbi			Barombi
bbj			Ghomálá'
bbk			Babanki
bbl			Bats
bbm			Babango
bbn			Uneapa
bbo			Northern Bobo Madaré
bbp			West Central Banda
bbq			Bamali
bbr			Girawa
bbs			Bakpinka
bbt			Mburku
bbu			Kulung (Nigeria)
bbv			Karnai
bbw			Baba
bbx			Bubia
bby			Befang
bbz			Babalia Creole Arabic
bca			Central Bai
bcb			Bainouk-Samik
bcc			Southern Balochi
bcd			North Babar
bce			Bamenyam
bcf			Bamu
bcg			Baga Binari
bch			Bariai
bci			Baoulé
bcj			Bardi
bck			Bunaba
bcl			Central Bicolano
bcm			Bannoni
bcn			Bali (Nigeria)
bco			Kaluli
bcp			Bali (Democratic Republic of Congo)
bcq			Bench
bcr			Babine
bcs			Kohumono
bct			Bendi
bcu			Awad Bing
bcv			Shoo-Minda-Nye
bcw			Bana
bcy			Bacama
bcz			Bainouk-Gunyaamolo
bda			Bayot
bdb			Basap
bdc			Emberá-Baudó
bdd			Bunama
bde			Bade
bdf			Biage
bdg			Bonggi
bdh			Baka (Sudan)
bdi			Burun
bdj			Bai
bdk			Budukh
bdl			Indonesian Bajau
bdm			Buduma
bdn			Baldemu
bdo			Morom
bdp			Bende
bdq			Bahnar
bdr			West Coast Bajau
bds			Burunge
bdt			Bokoto
bdu			Oroko
bdv			Bodo Parja
bdw			Baham
bdx			Budong-Budong
bdy			Bandjalang
bdz			Badeshi
bea			Beaver
beb			Bebele
bec			Iceve-Maci
bed			Bedoanas
bee			Byangsi
bef			Benabena
beg			Belait
beh			Biali
bei			Bekati'
bej	bej		Beja
bek			Bebeli
bel	bel	be	Belarusian
bem	bem		Bemba (Zambia)
ben	ben	bn	Bengali
beo			Beami
bep			Besoa
beq			Beembe
bes			Besme
bet			Guiberoua Béte
beu			Blagar
bev			Daloa Bété
bew			Betawi
bex			Jur Modo
bey			Beli (Papua New Guinea)
bez			Bena (Tanzania)
bfa			Bari
bfb			Pauri Bareli
bfc			Northern Bai
bfd			Bafut
bfe			Betaf
bff			Bofi
bfg			Busang Kayan
bfh			Blafe
bfi			British Sign Language
bfj			Bafanji
bfk			Ban Khor Sign Language
bfl			Banda-Ndélé
bfm			Mmen
bfn			Bunak
bfo			Malba Birifor
bfp			Beba
bfq			Badaga
bfr			Bazigar
bfs			Southern Bai
bft			Balti
bfu			Gahri
bfw			Bondo
bfx			Bantayanon
bfy			Bagheli
bfz			Mahasu Pahari
bga			Gwamhi-Wuri
bgb			Bobongko
bgc			Haryanvi
bgd			Rathwi Bareli
bge			Bauria
bgf			Bangandu
bgg			Bugun
bgi			Giangan
bgj			Bangolan
bgk			Bit
bgl			Bo (Laos)
bgm			Baga Mboteni
bgn			Western Balochi
bgo			Baga Koga
bgp			Eastern Balochi
bgq			Bagri
bgr			Bawm Chin
bgs			Tagabawa
bgt			Bughotu
bgu			Mbongno
bgv			Warkay-Bipim
bgw			Bhatri
bgx			Balkan Gagauz Turkish
bgy			Benggoi
bgz			Banggai
bha			Bharia
bhb			Bhili
bhc			Biga
bhd			Bhadrawahi
bhe			Bhaya
bhf			Odiai
bhg			Binandere
bhh			Bukharic
bhi			Bhilali
bhj			Bahing
bhl			Bimin
bhm			Bathari
bhn			Bohtan Neo-Aramaic
bho	bho		Bhojpuri
bhp			Bima
bhq			Tukang Besi South
bhr			Bara Malagasy
bhs			Buwal
bht			Bhattiyali
bhu			Bhunjia
bhv			Bahau
bhw			Biak
bhx			Bhalay
bhy			Bhele
bhz			Bada (Indonesia)
bia			Badimaya
bib			Bissa
bic			Bikaru
bid			Bidiyo
bie			Bepour
bif			Biafada
big			Biangai
bij			Vaghat-Ya-Bijim-Legeri
bik	bik		Bikol
bil			Bile
bim			Bimoba
bin	bin		Bini
bio			Nai
bip			Bila
biq			Bipi
bir			Bisorio
bis	bis	bi	Bislama
bit			Berinomo
biu			Biete
biv			Southern Birifor
biw			Kol (Cameroon)
bix			Bijori
biy			Birhor
biz			Baloi
bja			Budza
bjb			Banggarla
bjc			Bariji
bjd			Bandjigali
bje			Biao-Jiao Mien
bjf			Barzani Jewish Neo-Aramaic
bjg			Bidyogo
bjh			Bahinemo
bji			Burji
bjj			Kanauji
bjk			Barok
bjl			Bulu (Papua New Guinea)
bjm			Bajelani
bjn			Banjar
bjo			Mid-Southern Banda
bjq			Southern Betsimisaraka Malagasy
bjr			Binumarien
bjs			Bajan
bjt			Balanta-Ganja
bju			Busuu
bjv			Bedjond
bjw			Bakwé
bjx			Banao Itneg
bjy			Bayali
bjz			Baruga
bka			Kyak
bkc			Baka (Cameroon)
bkd			Binukid
bkf			Beeke
bkg			Buraka
bkh			Bakoko
bki			Baki
bkj			Pande
bkk			Brokskat
bkl			Berik
bkm			Kom (Cameroon)
bkn			Bukitan
bko			Kwa'
bkp			Boko (Democratic Republic of Congo)
bkq			Bakairí
bkr			Bakumpai
bks			Northern Sorsoganon
bkt			Boloki
bku			Buhid
bkv			Bekwarra
bkw			Bekwil
bkx			Baikeno
bky			Bokyi
bkz			Bungku
bla	bla		Siksika
blb			Bilua
blc			Bella Coola
bld			Bolango
ble			Balanta-Kentohe
blf			Buol
blg			Balau
blh			Kuwaa
bli			Bolia
blj			Bolongan
blk			Pa'o Karen
bll			Biloxi
blm			Beli (Sudan)
bln			Southern Catanduanes Bicolano
blo			Anii
blp			Blablanga
blq			Baluan-Pam
blr			Blang
bls			Balaesang
blt			Tai Dam
blv			Bolo
blw			Balangao
blx			Mag-Indi Ayta
bly			Notre
blz			Balantak
bma			Lame
bmb			Bembe
bmc			Biem
bmd			Baga Manduri
bme			Limassa
bmf			Bom
bmg			Bamwe
bmh			Kein
bmi			Bagirmi
bmj			Bote-Majhi
bmk			Ghayavi
bml			Bomboli
bmm			Northern Betsimisaraka Malagasy
bmn			Bina (Papua New Guinea)
bmo			Bambalang
bmp			Bulgebi
bmq			Bomu
bmr			Muinane
bms			Bilma Kanuri
bmt			Biao Mon
bmu			Burum-Mindik
bmv			Bum
bmw			Bomwali
bmx			Baimak
bmy			Bemba (Democratic Republic of Congo)
bmz			Baramu
bna			Bonerate
bnb			Bookan
bnc			Bontok
bnd			Banda (Indonesia)
bne			Bintauna
bnf			Masiwang
bng			Benga
bni			Bangi
bnj			Eastern Tawbuid
bnk			Bierebo
bnl			Boon
bnm			Batanga
bnn			Bunun
bno			Bantoanon
bnp			Bola
bnq			Bantik
bnr			Butmas-Tur
bns			Bundeli
bnu			Bentong
bnv			Bonerif
bnw			Bisis
bnx			Bangubangu
bny			Bintulu
bnz			Beezen
boa			Bora
bob			Aweer
bod	bod / tib* 	bo	Tibetan
boe			Mundabli
bof			Bolon
bog			Bamako Sign Language
boh			Boma
boi			Barbareño
boj			Anjam
bok			Bonjo
bol			Bole
bom			Berom
bon			Bine
boo			Tiemacèwè Bozo
bop			Bonkiman
boq			Bogaya
bor			Borôro
bos	bos	bs	Bosnian
bot			Bongo
bou			Bondei
bov			Tuwuli
bow			Rema
box			Buamu
boy			Bodo (Central African Republic)
boz			Tiéyaxo Bozo
bpa			Dakaka
bpb			Barbacoas
bpd			Banda-Banda
bpg			Bonggo
bph			Botlikh
bpi			Bagupi
bpj			Binji
bpk			Orowe
bpl			Broome Pearling Lugger Pidgin
bpm			Biyom
bpn			Dzao Min
bpo			Anasi
bpp			Kaure
bpq			Banda Malay
bpr			Koronadal Blaan
bps			Sarangani Blaan
bpt			Barrow Point
bpu			Bongu
bpv			Bian Marind
bpw			Bo (Papua New Guinea)
bpx			Palya Bareli
bpy			Bishnupriya
bpz			Bilba
bqa			Tchumbuli
bqb			Bagusa
bqc			Boko (Benin)
bqd			Bung
bqf			Baga Kaloum
bqg			Bago-Kusuntu
bqh			Baima
bqi			Bakhtiari
bqj			Bandial
bqk			Banda-Mbrès
bql			Bilakura
bqm			Wumboko
bqn			Bulgarian Sign Language
bqo			Balo
bqp			Busa
bqq			Biritai
bqr			Burusu
bqs			Bosngun
bqt			Bamukumbit
bqu			Boguru
bqv			Begbere-Ejar
bqw			Buru (Nigeria)
bqx			Baangi
bqy			Bengkala Sign Language
bqz			Bakaka
bra	bra		Braj
brb			Lave
brc			Berbice Creole Dutch
brd			Baraamu
bre	bre	br	Breton
brf			Bera
brg			Baure
brh			Brahui
bri			Mokpwe
brj			Bieria
brk			Birked
brl			Birwa
brm			Barambu
brn			Boruca
bro			Brokkat
brp			Barapasi
brq			Breri
brr			Birao
brs			Baras
brt			Bitare
bru			Eastern Bru
brv			Western Bru
brw			Bellari
brx			Bodo (India)
bry			Burui
brz			Bilbil
bsa			Abinomn
bsb			Brunei Bisaya
bsc			Bassari
bse			Wushi
bsf			Bauchi
bsg			Bashkardi
bsh			Kati
bsi			Bassossi
bsj			Bangwinji
bsk			Burushaski
bsl			Basa-Gumna
bsm			Busami
bsn			Barasana-Eduria
bso			Buso
bsp			Baga Sitemu
bsq			Bassa
bsr			Bassa-Kontagora
bss			Akoose
bst			Basketo
bsu			Bahonsuai
bsv			Baga Sobané
bsw			Baiso
bsx			Yangkam
bsy			Sabah Bisaya
bta			Bata
btc			Bati (Cameroon)
btd			Batak Dairi
bte			Gamo-Ningi
btf			Birgit
btg			Gagnoa Bété
bth			Biatah Bidayuh
bti			Burate
btj			Bacanese Malay
btl			Bhatola
btm			Batak Mandailing
btn			Ratagnon
bto			Rinconada Bikol
btp			Budibud
btq			Batek
btr			Baetora
bts			Batak Simalungun
btt			Bete-Bendi
btu			Batu
btv			Bateri
btw			Butuanon
btx			Batak Karo
bty			Bobot
btz			Batak Alas-Kluet
bua	bua		Buriat
bub			Bua
buc			Bushi
bud			Ntcham
bue			Beothuk
buf			Bushoong
bug	bug		Buginese
buh			Younuo Bunu
bui			Bongili
buj			Basa-Gurmana
buk			Bugawac
bul	bul	bg	Bulgarian
bum			Bulu (Cameroon)
bun			Sherbro
buo			Terei
bup			Busoa
buq			Brem
bus			Bokobaru
but			Bungain
buu			Budu
buv			Bun
buw			Bubi
bux			Boghom
buy			Bullom So
buz			Bukwen
bva			Barein
bvb			Bube
bvc			Baelelea
bvd			Baeggu
bve			Berau Malay
bvf			Boor
bvg			Bonkeng
bvh			Bure
bvi			Belanda Viri
bvj			Baan
bvk			Bukat
bvl			Bolivian Sign Language
bvm			Bamunka
bvn			Buna
bvo			Bolgo
bvq			Birri
bvr			Burarra
bvt			Bati (Indonesia)
bvu			Bukit Malay
bvv			Baniva
bvw			Boga
bvx			Dibole
bvy			Baybayanon
bvz			Bauzi
bwa			Bwatoo
bwb			Namosi-Naitasiri-Serua
bwc			Bwile
bwd			Bwaidoka
bwe			Bwe Karen
bwf			Boselewa
bwg			Barwe
bwh			Bishuo
bwi			Baniwa
bwj			Láá Láá Bwamu
bwk			Bauwaki
bwl			Bwela
bwm			Biwat
bwn			Wunai Bunu
bwo			Boro (Ethiopia)
bwp			Mandobo Bawah
bwq			Southern Bobo Madaré
bwr			Bura-Pabir
bws			Bomboma
bwt			Bafaw-Balong
bwu			Buli (Ghana)
bww			Bwa
bwx			Bu-Nao Bunu
bwy			Cwi Bwamu
bwz			Bwisi
bxa			Bauro
bxb			Belanda Bor
bxc			Molengue
bxd			Pela
bxe			Birale
bxf			Bilur
bxg			Bangala
bxh			Buhutu
bxi			Pirlatapa
bxj			Bayungu
bxk			Bukusu
bxl			Jalkunan
bxm			Mongolia Buriat
bxn			Burduna
bxo			Barikanchi
bxp			Bebil
bxq			Beele
bxr			Russia Buriat
bxs			Busam
bxu			China Buriat
bxv			Berakou
bxw			Bankagooma
bxx			Borna (Democratic Republic of Congo)
bxz			Binahari
bya			Batak
byb			Bikya
byc			Ubaghara
byd			Benyadu'
bye			Pouye
byf			Bete
byg			Baygo
byh			Bhujel
byi			Buyu
byj			Bina (Nigeria)
byk			Biao
byl			Bayono
bym			Bidyara
byn	byn		Bilin
byo			Biyo
byp			Bumaji
byq			Basay
byr			Baruya
bys			Burak
byt			Berti
byv			Medumba
byw			Belhariya
byx			Qaqet
byy			Buya
byz			Banaro
bza			Bandi
bzb			Andio
bzd			Bribri
bze			Jenaama Bozo
bzf			Boikin
bzg			Babuza
bzh			Mapos Buang
bzi			Bisu
bzj			Belize Kriol English
bzk			Nicaragua Creole English
bzl			Boano (Sulawesi)
bzm			Bolondo
bzn			Boano (Maluku)
bzo			Bozaba
bzp			Kemberano
bzq			Buli (Indonesia)
bzr			Biri
bzs			Brazilian Sign Language
bzt			Brithenig
bzu			Burmeso
bzv			Bebe
bzw			Basa (Nigeria)
bzx			Hainyaxo Bozo
bzy			Obanliku
bzz			Evant
caa			Chortí
cab			Garifuna
cac			Chuj
cad	cad		Caddo
cae			Lehar
caf			Southern Carrier
cag			Nivaclé
cah			Cahuarano
caj			Chané
cak			Kaqchikel
cal			Carolinian
cam			Cemuhî
can			Chambri
cao			Chácobo
cap			Chipaya
caq			Car Nicobarese
car	car		Galibi Carib
cas			Tsimané
cat	cat	ca	Catalan
cav			Cavineña
caw			Callawalla
cax			Chiquitano
cay			Cayuga
caz			Canichana
cbb			Cabiyarí
cbc			Carapana
cbd			Carijona
cbe			Chipiajes
cbg			Chimila
cbh			Cagua
cbi			Chachi
cbj			Ede Cabe
cbk			Chavacano
cbl			Bualkhaw Chin
cbn			Nyahkur
cbo			Izora
cbr			Cashibo-Cacataibo
cbs			Cashinahua
cbt			Chayahuita
cbu			Candoshi-Shapra
cbv			Cacua
cbw			Kinabalian
cby			Carabayo
cca			Cauca
ccc			Chamicuro
ccd			Cafundo Creole
cce			Chopi
ccg			Samba Daka
cch			Atsam
ccj			Kasanga
ccl			Cutchi-Swahili
ccm			Malaccan Creole Malay
cco			Comaltepec Chinantec
ccp			Chakma
ccq			Chaungtha
ccr			Cacaopera
cda			Choni
cde			Chenchu
cdf			Chiru
cdg			Chamari
cdh			Chambeali
cdi			Chodri
cdj			Churahi
cdm			Chepang
cdn			Chaudangsi
cdo			Min Dong Chinese
cdr			Cinda-Regi-Tiyal
cds			Chadian Sign Language
cdy			Chadong
cdz			Koda
cea			Lower Chehalis
ceb	ceb		Cebuano
ceg			Chamacoco
cen			Cen
ces	ces / cze* 	cs	Czech
cet			Centúúm
cfa			Dijim-Bwilim
cfd			Cara
cfg			Como Karim
cfm			Falam Chin
cga			Changriwa
cgc			Kagayanen
cgg			Chiga
cgk			Chocangacakha
cha	cha	ch	Chamorro
chb	chb		Chibcha
chc			Catawba
chd			Highland Oaxaca Chontal
che	che	ce	Chechen
chf			Tabasco Chontal
chg	chg		Chagatai
chh			Chinook
chj			Ojitlán Chinantec
chk	chk		Chuukese
chl			Cahuilla
chm	chm		Mari (Russia)
chn	chn		Chinook jargon
cho	cho		Choctaw
chp	chp		Chipewyan
chq			Quiotepec Chinantec
chr	chr		Cherokee
cht			Cholón
chu	chu	cu	Church Slavic
chv	chv	cv	Chuvash
chw			Chuwabu
chx			Chantyal
chy	chy		Cheyenne
chz			Ozumacín Chinantec
cia			Cia-Cia
cib			Ci Gbe
cic			Chickasaw
cid			Chimariko
