word1,  word2, mean, ano1, ano2, ano3, ano4, ano5
色々と, 色々, 8.8, 9, 8, 9, 10, 8
全体的に, おしなべて, 6.0, 8, 4, 9, 9, 0
現在や, 今や, 8.6, 8, 8, 8, 10, 9
いかにも, すっかり, 3.8, 5, 7, 3, 4, 0
すでに, 今日では, 2.4, 0, 6, 3, 0, 3
少し, いささか, 7.0, 7, 6, 7, 7, 8
十分に, 思いっきり, 6.6, 6, 5, 7, 8, 7
総合的に, 基本的に, 4.6, 5, 7, 1, 7, 3
だいたい, 全般的に, 6.0, 7, 5, 2, 9, 7
どうせ, しょせんは, 7.4, 8, 7, 6, 10, 6
今や, 現在では, 7.6, 8, 8, 6, 9, 7
しっかり, 完全に, 7.0, 8, 4, 7, 9, 7
絶対, きっぱり, 5.0, 7, 4, 6, 5, 3
今や, 今は, 7.2, 9, 8, 4, 9, 6
そんなに, さほど, 7.4, 8, 7, 7, 9, 6
だいぶ, とても, 7.2, 8, 5, 7, 9, 7
こんがり, しっかり, 3.4, 8, 4, 3, 2, 0
たくさん, いっせいに, 3.2, 6, 4, 1, 5, 0
現在も, 実際に, 2.6, 0, 2, 3, 8, 0
びっしり, 窮屈そうに, 5.6, 6, 7, 3, 7, 5
ぜひとも, なんとか, 6.4, 7, 8, 2, 9, 6
しばしば, しょっちゅう, 6.8, 7, 7, 4, 9, 7
確かに, もちろん, 5.8, 7, 8, 7, 7, 0
基本的に, 概して, 5.6, 6, 6, 3, 7, 6
現在では, 昨今は, 4.2, 8, 4, 2, 0, 7
どうしても, 何故だか, 4.2, 6, 7, 0, 8, 0
度々, 頻繁に, 8.4, 8, 8, 9, 9, 8
たまに, まあまあ, 5.8, 6, 7, 5, 9, 2
ずらり, ぎゅうぎゅうと, 3.4, 6, 5, 1, 5, 0
にこやかに, にっこり, 7.8, 7, 8, 9, 9, 6
かなり, 一段と, 6.8, 8, 6, 8, 9, 3
ぐんと, ずっと, 5.2, 7, 5, 7, 7, 0
ぜんぜん, そんなに, 4.2, 7, 5, 7, 0, 2
何もかも, 丸ごと, 7.4, 8, 4, 9, 8, 8
実際に, 実際, 8.8, 9, 8, 9, 9, 9
一段と, 大幅に, 7.0, 7, 6, 8, 7, 7
頻繁に, しばしばも, 7.2, 7, 6, 7, 8, 8
もう, よもや, 2.6, 7, 5, 1, 0, 0
だいたい, 全部, 4.8, 7, 5, 0, 5, 7
しょせん, どだい, 7.4, 8, 5, 8, 9, 7
とても, かなり, 7.8, 8, 6, 8, 9, 8
トータル的に, 概ね, 7.6, 8, 5, 8, 9, 8
どだい, 所詮, 7.6, 8, 5, 8, 9, 8
しっかりと, こんがりと, 4.2, 8, 6, 5, 2, 0
ほぼ, 主として, 6.6, 8, 5, 7, 8, 5
今や, 現在, 7.4, 8, 6, 8, 9, 6
そんなに, たいして, 6.4, 8, 6, 6, 5, 7
よろしく, ぜひとも, 5.0, 8, 6, 3, 8, 0
たくさん, 十分に, 7.4, 8, 5, 9, 9, 6
総合的に, おしなべて, 7.6, 8, 4, 9, 9, 8
ちょっと, 少々, 7.8, 8, 6, 8, 9, 8
何とも, どうしても, 4.8, 8, 6, 5, 5, 0
少し, わずかに, 7.4, 7, 7, 7, 8, 8
だいたい, 全て, 5.8, 7, 5, 4, 8, 5
総合的に, 概して, 7.2, 8, 6, 7, 8, 7
もう, とうとう, 6.4, 8, 5, 6, 9, 4
だいたい, 概ね, 7.8, 8, 5, 9, 9, 8
ずらり, びっしり, 5.6, 8, 6, 5, 9, 0
今では, 現在, 7.6, 8, 7, 6, 9, 8
どうにか, ようやく, 6.0, 8, 6, 5, 8, 3
何しろ, ともかく, 5.6, 7, 6, 6, 9, 0
結局, どだい, 6.2, 5, 5, 7, 8, 6
やっとこさ, ようやく, 7.8, 8, 6, 8, 9, 8
総じて, あらかた, 5.8, 7, 5, 8, 9, 0
頻繁に, 時として, 1.2, 2, 4, 0, 0, 0
絶対に, 当然, 5.2, 7, 5, 5, 9, 0
ぎっしり, ぎゅうぎゅうと, 7.8, 8, 6, 7, 9, 9
ぎっしり, ぎゅうぎゅうに, 7.8, 8, 6, 7, 9, 9
そんなに, さほどは, 6.0, 7, 5, 2, 9, 7
充分に, 大胆に, 3.6, 7, 6, 0, 5, 0
今日では, もはや, 4.0, 7, 6, 2, 5, 0
ありのまま, 丸々, 5.4, 8, 5, 7, 7, 0
ずらりと, 荘厳に, 3.0, 6, 5, 1, 3, 0
しばしば, 時折, 5.4, 8, 6, 5, 8, 0
きっぱりと, 頑として, 6.8, 8, 5, 6, 9, 6
これぞ, 正に, 6.8, 8, 6, 7, 8, 5
絶対, 絶対に, 8.8, 9, 8, 9, 10, 8
本当に, 完全に, 5.2, 7, 5, 7, 7, 0
これぞ, まさに, 7.0, 7, 6, 8, 9, 5
今現在, 現在では, 8.6, 8, 8, 9, 9, 9
そんなに, 大して, 7.0, 6, 7, 8, 8, 6
もう, 今や, 5.0, 1, 5, 5, 7, 7
びっしり, 大量に, 7.0, 8, 6, 6, 8, 7
現在, 現在では, 8.6, 9, 8, 8, 9, 9
よく, 時折, 4.2, 7, 6, 3, 5, 0
きっぱり, 絶対に, 5.8, 7, 2, 4, 9, 7
多くが, 総じて, 6.8, 7, 6, 7, 8, 6
今や, もはや, 5.8, 7, 6, 5, 9, 2
ひたすら, ただただ, 7.6, 8, 5, 8, 9, 8
そのまま, 丸ごと, 5.4, 8, 2, 8, 9, 0
きっぱり, きっぱりと, 8.8, 9, 8, 9, 9, 9
総じて, おしなべて, 7.6, 8, 5, 8, 9, 8
総合的に, 全体として, 8.0, 8, 6, 8, 9, 9
さらに, 一段と, 7.4, 8, 4, 8, 9, 8
昨今や, 現在や, 4.8, 8, 2, 6, 0, 8
たいして, さほどは, 7.6, 8, 6, 7, 9, 8
にこやかに, にんまり, 5.2, 7, 8, 2, 9, 0
きっぱりと, 断固, 7.2, 8, 6, 8, 9, 5
何とか, ようやく, 7.4, 7, 7, 8, 9, 6
全体として, 概して, 7.6, 8, 6, 8, 9, 7
当然, 無論, 7.8, 7, 7, 9, 9, 7
今, 実際, 3.6, 0, 4, 5, 9, 0
今では, 今日では, 7.2, 8, 6, 5, 9, 8
どうにか, 何とぞ, 6.8, 8, 6, 6, 7, 7
度々, しきりに, 6.2, 7, 4, 7, 6, 7
やや, 多少, 6.6, 8, 7, 7, 6, 5
何かと, 色々, 5.6, 8, 6, 4, 7, 3
にっこり, にこにこ, 8.2, 8, 8, 8, 9, 8
どうか, 何とぞ, 7.8, 8, 8, 7, 9, 7
全体的に, 全般的に, 7.2, 8, 6, 6, 9, 7
しばしば, まあまあ, 6.2, 7, 7, 6, 6, 5
今現在, 今や, 7.4, 8, 6, 7, 9, 7
しっかり, 絶対, 5.6, 6, 4, 7, 5, 6
ぐんと, 大幅に, 7.0, 7, 6, 8, 8, 6
充分, 思い切り, 5.6, 7, 4, 6, 6, 5
少々, いささか, 6.4, 8, 6, 6, 8, 4
あいにく, 生憎, 10.0, 10, 10, 10, 10, 10
何とか, なんとか, 10.0, 10, 10, 10, 10, 10
どうか, 何とか, 7.2, 8, 6, 8, 9, 5
断じて, 毅然と, 5.4, 7, 4, 8, 8, 0
現在は, 今日では, 6.8, 8, 5, 5, 9, 7
なんせ, いかんせん, 5.8, 8, 5, 6, 5, 5
絶対に, 頑として, 7.4, 7, 6, 9, 8, 7
ぐんと, 劇的に, 7.2, 8, 6, 8, 8, 6
たまに, 時折, 8.0, 8, 7, 8, 9, 8
いかにも, さも, 7.6, 8, 6, 7, 9, 8
あたかも, まさしく, 3.8, 8, 6, 5, 0, 0
なんとも, どうにも, 7.0, 6, 7, 7, 8, 7
今は, もはや, 5.6, 7, 6, 5, 5, 5
たくさん, ぎっしりと, 7.0, 8, 6, 6, 9, 6
何しろ, いかんせん, 6.8, 8, 6, 6, 8, 6
順に, 順次, 8.2, 8, 7, 9, 9, 8
少々, 少しばかり, 7.8, 8, 6, 9, 8, 8
現に, 実際, 7.6, 7, 5, 8, 9, 9
結局, 所詮, 7.4, 7, 6, 8, 9, 7
今や, よもや, 5.4, 7, 6, 7, 7, 0
時々, 度々, 3.8, 7, 5, 7, 0, 0
全体的に, 概ね, 7.2, 7, 5, 8, 9, 7
いかにも, 実に, 4.2, 6, 6, 2, 7, 0
ずらりと, いっぱい, 5.0, 8, 5, 5, 7, 0
全体として, おしなべて, 7.0, 7, 6, 7, 7, 8
勿論, 確実に, 5.0, 7, 5, 6, 7, 0
しょせん, 結局は, 6.8, 6, 5, 8, 9, 6
かなり, 少々, 0.8, 0, 3, 1, 0, 0
何とか, 辛くも, 6.6, 7, 6, 6, 7, 7
たくさん, 度々も, 6.6, 7, 6, 7, 7, 6
きょうび, 現在は, 6.4, 8, 4, 7, 7, 6
いまや, もはや, 7.2, 8, 6, 7, 8, 7
びっしり, 細密に, 6.0, 7, 4, 7, 8, 4
少々, まあまあ, 5.8, 8, 5, 6, 4, 6
何かと, 色々と, 6.8, 8, 5, 8, 8, 5
ぐっと, いっそう, 4.6, 3, 4, 8, 8, 0
実に, すっかり, 3.0, 6, 6, 3, 0, 0
まさに, 事実, 4.6, 8, 5, 5, 5, 0
頑として, 断じて, 6.6, 7, 6, 6, 8, 6
しっかり, 必ず, 6.4, 8, 6, 6, 5, 7
しっかりと, いっそう, 3.2, 7, 5, 3, 1, 0
さほどは, さほど, 8.6, 9, 8, 9, 9, 8
総じて, 概して, 7.6, 7, 5, 9, 9, 8
ぐっと, 急に, 4.0, 3, 5, 8, 4, 0
色々と, しばしば, 3.4, 7, 4, 1, 5, 0
ずっと, 劇的に, 4.0, 7, 5, 0, 8, 0
色々と, 頻繁に, 4.6, 7, 4, 5, 7, 0
しょせん, しょせんは, 8.8, 9, 8, 9, 10, 8
何とも, 何故だか, 5.2, 7, 6, 8, 5, 0
既に, もはや, 7.2, 7, 6, 8, 9, 6
断固, 頑として, 7.6, 8, 6, 8, 8, 8
概ね, 総じて, 7.4, 7, 5, 8, 9, 8
おおむね, 全般的に, 7.6, 8, 5, 8, 9, 8
総じて, 一般に, 7.6, 7, 6, 9, 9, 7
どうにか, なんとか, 7.4, 8, 7, 7, 9, 6
まさに, 正しく, 7.4, 9, 6, 3, 9, 10
ぎりぎりで, 辛うじて, 7.4, 7, 6, 7, 9, 8
いっせいに, 大量に, 5.4, 6, 6, 2, 8, 5
全般的に, 概して, 7.4, 8, 5, 7, 9, 8
ほぼ, だいたい, 7.6, 8, 7, 8, 7, 8
何かと, とかく, 6.2, 7, 5, 5, 8, 6
丸ごと, 完全に, 6.0, 6, 5, 5, 9, 5
丸ごと, ありのままに, 4.6, 7, 4, 5, 7, 0
さも, まことに, 3.8, 7, 5, 4, 3, 0
だいたい, 主に, 7.2, 8, 6, 6, 8, 8
まるで, いかにも, 6.8, 6, 6, 6, 9, 7
本当に, 絶対に, 5.0, 3, 6, 4, 9, 3
全体的に, あらかた, 7.0, 6, 6, 6, 9, 8
とっくに, 今や, 4.4, 2, 5, 3, 6, 6
順に, 逐次, 7.8, 7, 6, 9, 9, 8
確実に, 断固, 5.6, 6, 5, 6, 6, 5
少し, わずかばかり, 7.0, 7, 6, 7, 8, 7
びっしり, ぎっしり, 7.6, 8, 6, 7, 9, 8
多くが, 全体的に, 7.8, 7, 7, 8, 9, 8
一斉に, 荘厳に, 1.6, 3, 5, 0, 0, 0
十分に, 思いっきりに, 5.6, 7, 5, 2, 7, 7
ぐんと, いっそう, 4.6, 7, 6, 5, 5, 0
今や, きょうび, 6.8, 8, 6, 6, 8, 6
まあまあ, 少し, 5.6, 7, 6, 6, 2, 7
どうやら, なんせ, 4.8, 7, 6, 1, 5, 5
わずかに, いささか, 6.0, 8, 6, 2, 8, 6
時々, 時おり, 7.8, 8, 7, 9, 8, 7
どうやら, 何しろ, 4.0, 7, 6, 1, 0, 6
今では, きょうび, 7.0, 8, 6, 5, 9, 7
全部, 丸ごと, 9.0, 10, 10, 7, 10, 8
やや, いささか, 5.4, 6, 5, 7, 7, 2
あらかた, トータル的に, 6.6, 4, 8, 8, 7, 6
もはや, すでに, 8.0, 9, 9, 7, 8, 7
ぜんぜん, たいして, 5.8, 7, 2, 7, 5, 8
特に, 専ら, 5.2, 5, 8, 8, 3, 2
絶対, 確実に, 9.0, 9, 9, 9, 10, 8
どうか, なんとか, 7.2, 6, 8, 9, 7, 6
度々も, 頻繁に, 6.8, 7, 8, 8, 8, 3
よく, たびたび, 7.0, 8, 8, 8, 8, 3
すでに, 既に, 10.0, 10, 10, 10, 10, 10
時々, 常に, 1.4, 0, 1, 0, 3, 3
たくさん, 大胆に, 3.6, 2, 3, 6, 5, 2
かなり, しっかりと, 4.0, 6, 1, 5, 6, 2
全て, そのままを, 4.6, 4, 6, 4, 9, 0
主として, 専ら, 8.2, 8, 9, 8, 10, 6
たくさん, 思う存分に, 6.0, 7, 2, 7, 8, 6
しっかりと, 十分に, 7.2, 8, 7, 6, 10, 5
全般的に, 全て, 8.2, 9, 8, 8, 9, 7
ぎっしり, ぎっしりと, 9.8, 10, 10, 10, 10, 9
必ず, 頑として, 4.0, 1, 1, 8, 5, 5
一般的に, 総じて, 7.6, 7, 9, 8, 10, 4
時々, 頻繁に, 1.2, 0, 0, 0, 3, 3
特に, 主に, 5.6, 0, 7, 9, 8, 4
わずかに, かすかに, 8.4, 10, 9, 8, 8, 7
きっぱり, 頑として, 8.2, 10, 9, 8, 8, 6
もう, すっかり, 6.0, 9, 3, 7, 6, 5
全部, 何もかも, 8.8, 10, 9, 8, 9, 8
何とぞ, なんとか, 8.8, 9, 10, 9, 9, 7
それほど, さほど, 8.8, 10, 9, 8, 10, 7
現在は, もはや, 4.8, 8, 9, 5, 0, 2
何もかも, ありのままに, 5.4, 8, 8, 8, 0, 3
そのままを, ありのままに, 8.4, 10, 9, 8, 9, 6
さほど, 大して, 8.0, 10, 9, 7, 8, 6
まるで, あたかも, 8.0, 9, 9, 8, 9, 5
まさしく, さも, 4.6, 0, 6, 8, 7, 2
よく, たまに, 1.0, 0, 0, 1, 1, 3
まるで, さも, 7.2, 9, 9, 7, 9, 2
常に, 度々, 5.6, 2, 8, 7, 8, 3
どうせ, 結局, 6.8, 9, 8, 4, 8, 5
結局は, しょせんは, 7.6, 10, 10, 5, 8, 5
だいぶ, かなり, 8.4, 10, 9, 7, 9, 7
今では, 既に, 5.2, 6, 5, 7, 4, 4
いかにも, あからさまに, 5.6, 8, 3, 8, 5, 4
少々, 若干, 8.6, 10, 8, 8, 10, 7
いっぱいに, たくさん, 8.8, 10, 9, 8, 10, 7
大量に, 細密に, 2.2, 0, 0, 2, 5, 4
充分に, 精一杯, 6.4, 5, 8, 7, 7, 5
今では, いまや, 8.4, 9, 9, 8, 10, 6
どうせ, どだい, 7.6, 8, 9, 8, 8, 5
まさに, 実際に, 5.2, 3, 7, 6, 6, 4
時々, しばしば, 5.0, 10, 0, 2, 7, 6
かなり, いささか, 2.4, 7, 0, 1, 0, 4
きっぱり, 断じて, 8.2, 8, 9, 8, 10, 6
一段と, 急に, 5.8, 8, 8, 3, 6, 4
総じて, トータル的に, 9.0, 10, 10, 9, 10, 6
どうにか, 辛うじて, 8.4, 9, 10, 8, 9, 6
ぎりぎり, 辛うじて, 8.4, 9, 9, 8, 10, 6
ぐんと, しっかりと, 5.2, 5, 0, 8, 9, 4
もはや, 現在では, 6.0, 7, 5, 7, 7, 4
急に, ずっと, 0.0, 0, 0, 0, 0, 0
少し, 多少, 6.2, 1, 5, 8, 9, 8
確実に, 断然, 6.0, 4, 7, 7, 8, 4
まったく, どうにも, 7.0, 6, 8, 8, 8, 5
必ず, 絶対に, 9.2, 10, 10, 8, 10, 8
次々, 順に, 7.4, 8, 8, 7, 8, 6
よく, しょっちゅう, 8.6, 10, 8, 8, 10, 7
それほど, そんなには, 8.6, 9, 9, 8, 9, 8
結局は, 所詮, 8.2, 9, 10, 5, 10, 7
常に, 頻繁に, 8.0, 9, 9, 6, 10, 6
しばしば, 度々, 7.8, 10, 5, 9, 8, 7
とても, しっかりと, 6.6, 8, 5, 9, 6, 5
すべて, 丸ごと, 9.2, 10, 9, 9, 10, 8
今も, 現に, 6.0, 5, 8, 3, 7, 7
絶対, 断然, 7.6, 9, 8, 8, 6, 7
全体的に, 全体として, 9.2, 10, 10, 9, 10, 7
あまり, そんなには, 8.0, 8, 9, 8, 9, 6
本当に, 断固, 5.4, 7, 4, 8, 3, 5
すでに, 実際, 3.8, 6, 6, 1, 0, 6
なんにも, 何とも, 6.8, 7, 6, 7, 6, 8
大幅に, 随分, 7.6, 7, 8, 8, 8, 7
しっかり, 断然, 6.2, 5, 8, 7, 5, 6
本当に, しっかり, 3.4, 6, 0, 5, 0, 6
結局は, 結果的に, 8.2, 9, 9, 7, 8, 8
十分に, 充分に, 9.0, 10, 9, 8, 9, 9
ひたすら, 専ら, 5.8, 0, 10, 8, 9, 2
ぎっしり, 細密に, 7.6, 8, 6, 8, 9, 7
よく, 時々, 1.8, 2, 0, 1, 4, 2
とても, いっそう, 5.6, 3, 7, 7, 6, 5
概ね, 概して, 8.4, 9, 10, 8, 9, 6
少々, 少し, 9.2, 10, 9, 10, 9, 8
もちろん, 絶対に, 7.2, 8, 8, 9, 6, 5
何とか, ぎりぎり, 7.2, 9, 8, 8, 7, 4
何しろ, なにせ, 9.0, 10, 9, 9, 10, 7
全部, すべて, 9.6, 10, 10, 9, 10, 9
一段と, 劇的に, 6.8, 8, 8, 6, 6, 6
どうか, どうにか, 4.4, 0, 0, 9, 5, 8
たくさん, 多々, 9.0, 9, 9, 9, 10, 8
現に, 事実上, 7.2, 5, 8, 9, 8, 6
まさに, 正に, 10.0, 10, 10, 10, 10, 10
ぎっしり, いっぱい, 9.0, 10, 9, 9, 10, 7
ぐっと, 一段と, 7.4, 7, 8, 8, 8, 6
度々, 時として, 4.2, 3, 8, 1, 2, 7
概して, だいたい, 8.0, 9, 8, 9, 7, 7
時々, 時として, 8.8, 10, 8, 10, 8, 8
すでに, すっかり, 5.4, 7, 0, 8, 7, 5
少々, いくばくか, 7.2, 9, 7, 7, 7, 6
かすかに, 少しばかり, 7.6, 9, 7, 7, 9, 6
無論, 当たり前に, 7.4, 6, 8, 8, 8, 7
とにかく, なにせ, 7.8, 9, 9, 8, 8, 5
常に, しばしば, 3.2, 0, 1, 7, 6, 2
すべて, ありのまま, 6.8, 8, 5, 9, 7, 5
すでに, 現に, 5.6, 8, 8, 1, 4, 7
今では, もはや, 7.2, 9, 8, 8, 6, 5
頻繁に, 時おり, 1.4, 0, 0, 3, 2, 2
やや, 少し, 7.2, 9, 8, 8, 9, 2
度々, 時折, 6.2, 10, 4, 6, 4, 7
順次, 随時, 5.0, 9, 0, 9, 1, 6
頑として, 確実に, 5.2, 1, 5, 9, 6, 5
まるで, いわば, 6.4, 4, 8, 8, 8, 4
さらに, 大幅に, 6.6, 6, 8, 6, 8, 5
本当に, 必ず, 8.0, 9, 9, 7, 7, 8
どうにも, どうしても, 6.6, 10, 5, 4, 8, 6
しばしば, しきりに, 4.2, 3, 0, 9, 7, 2
何しろ, どうにも, 4.4, 1, 5, 8, 5, 3
たくさん, 大量に, 9.2, 10, 9, 9, 10, 8
いっぱいに, ずらりと, 7.4, 9, 5, 8, 8, 7
もう, いまや, 8.0, 10, 6, 9, 9, 6
何とも, なんとも, 10.0, 10, 10, 10, 10, 10
わずかに, 若干, 8.8, 10, 8, 8, 10, 8
断じて, 断然として, 7.2, 2, 9, 8, 9, 8
さらに, 一層, 8.6, 9, 9, 8, 10, 7
まるで, あからさまに, 6.4, 9, 2, 9, 7, 5
そんなにも, さほど, 8.2, 10, 8, 8, 8, 7
常に, たびたび, 4.8, 0, 6, 9, 7, 2
基本的に, おしなべて, 7.4, 9, 8, 7, 8, 5
なんだか, どうにも, 8.0, 9, 8, 9, 8, 6
いっぱい, 盛大に, 8.2, 10, 7, 8, 9, 7
すでに, 実際に, 3.6, 1, 8, 1, 0, 8
何しろ, 何せ, 9.0, 10, 8, 9, 10, 8
なんだか, どうしても, 4.2, 8, 0, 7, 1, 5
絶対に, 断固, 8.0, 9, 9, 8, 7, 7
全部, 総じて, 8.6, 10, 9, 9, 8, 7
全て, 完全に, 8.2, 9, 9, 9, 6, 8
断固, 毅然と, 8.2, 9, 9, 8, 8, 7
あまり, たいして, 8.2, 10, 8, 8, 8, 7
全体的に, 全て, 8.6, 10, 9, 9, 7, 8
全部, 丸々, 9.4, 10, 10, 9, 10, 8
たまに, 頻繁に, 1.8, 0, 0, 8, 0, 1
主に, ただただ, 2.8, 1, 0, 7, 0, 6
とっくに, 既に, 9.0, 10, 10, 9, 10, 6
ぐんと, 一気に, 8.6, 9, 9, 8, 10, 7
たくさん, 窮屈そうに, 3.0, 7, 2, 4, 0, 2
実際に, 事実上, 8.4, 9, 8, 10, 9, 6
かなり, 結構, 8.6, 10, 8, 8, 10, 7
ぐっと, ぐんと, 8.2, 10, 9, 9, 7, 6
しばしば, 頻繁に, 7.2, 9, 9, 8, 8, 2
おおむね, 概して, 8.8, 10, 10, 9, 10, 5
なんせ, とにかく, 6.2, 9, 0, 8, 9, 5
そのまま, 全部, 8.2, 8, 9, 9, 8, 7
今も, 現在も, 9.6, 10, 10, 10, 10, 8
よく, 専ら, 7.0, 7, 9, 9, 8, 2
ぎっしり, たくさん, 9.0, 10, 9, 9, 9, 8
そんなには, たいして, 8.2, 9, 9, 8, 8, 7
かなり, ぐんと, 8.0, 8, 9, 9, 8, 6
にこやかに, にんまりと, 7.2, 7, 9, 9, 4, 7
にっこりと, にんまりと, 7.4, 7, 9, 9, 5, 7
そんなに, あまり, 8.4, 9, 9, 8, 9, 7
そのまま, すべて, 7.4, 10, 6, 9, 6, 6
さも, 実に, 5.2, 10, 0, 8, 4, 4
よく, 結構, 8.8, 9, 8, 9, 10, 8
だいぶ, 一段と, 7.8, 9, 9, 8, 7, 6
