word1,word2,mean,sub1,sub2,sub3,sub4,sub5
なぞった,調べた,2.6,3,2,0,3,5
なぞった,読み返した,5.2,5,7,5,4,5
なぞる,歩む,2.4,1,4,0,3,4
なぞる,追う,4.8,3,6,3,6,6
なぞる,探し求める,3.6,1,4,3,5,5
なぞる,行く,1.6,0,0,0,4,4
にこにこした,微笑した,7.4,10,5,6,9,7
ニコニコした,にっこりした,9.2,7,10,10,10,9
ニコニコした,にんまりした,7.8,7,8,10,7,7
にこにこする,微笑む,8.6,10,8,8,10,7
にじみ出ている,示されている,4.4,6,3,3,3,7
にじみ出ている,出ている,6.2,6,5,5,8,7
にじみ出る,浮かび上がる,6,5,6,7,4,8
にっこりした,にんまりした,7.8,8,9,6,9,7
のせる,添える,5.8,5,6,4,7,7
はさみこんだ,掴んだ,3.8,3,1,3,6,6
はさみこんだ,はさんだ,8.4,8,9,8,8,9
はさんだ,つかんだ,3.8,0,2,4,6,7
はだける,乱れる,5,6,4,7,2,6
はまった,入り込んだ,6,5,6,9,3,7
はまった,埋もれた,6.2,6,4,7,7,7
はまる,合う,6.4,5,6,5,8,8
はまる,いく,1.2,0,0,0,3,3
はめこむ,着ける,3.8,5,1,3,4,6
はめこむ,はめる,8,10,6,8,7,9
はめこむ,通す,2.2,0,0,0,5,6
はめた,装着した,7.2,5,8,9,8,6
はめた,着用した,6.2,8,4,5,8,6
はめられた,陥った,6.4,8,5,5,6,8
はめる,つける,7.4,9,7,7,8,6
ひいた,受け継いだ,3.8,3,0,0,8,8
ひいた,広げた,2.4,0,2,0,4,6
ひいた,貰った,1.8,0,1,0,2,6
ひいた,書いた,2.2,0,1,0,3,7
ひく,撤退する,8.2,9,7,8,9,8
ぴったりと付いた,挟まった,4,4,1,2,7,6
ひょっとする,もしかする,8.2,8,8,7,10,8
フォローした,補足した,7.8,9,8,5,9,8
フォローした,付け加えた,7.2,8,7,6,7,8
ふき取った,ふいた,8.4,8,9,8,8,9
ふき取った,拭いた,8.4,8,7,8,10,9
ふりをした,装った,8.2,7,8,10,8,8
ふりをする,真似る,8.2,7,7,10,9,8
ふりをする,装う,8.2,7,7,10,9,8
ほほえみ,微笑み,10,10,10,10,10,10
ほほえむ,笑う,6.8,8,5,6,8,7
ほほえむ,微笑む,10,10,10,10,10,10
マッチした,合った,8.2,6,9,9,10,7
マッチした,合致した,7.6,6,9,7,10,6
マッチする,一致する,7.2,5,9,9,7,6
マッチする,合体する,5.8,6,9,5,4,5
みごもらせた,身ごもらせた,10,10,10,10,10,10
むかむかした,忌ま忌ましい,4.8,5,2,4,7,6
むき出しになった,露呈した,7.4,9,6,7,7,8
むき出しになった,見られた,1.8,0,0,0,3,6
むしばんだ,破壊した,3.4,4,1,4,2,6
むしばんだ,病んだ,6.2,7,6,5,6,7
もめる,主張しあう,4.4,5,5,3,3,6
もめる,言い争う,7.8,7,7,8,9,8
もらった,罹患した,5.8,5,5,4,7,8
やめた,撤退した,6.6,8,8,7,3,7
やめた,辞めた,10,10,10,10,10,10
やめる,除く,3.4,2,5,2,3,5
よくある,結構ある,7.6,8,8,9,8,5
よく合う,合う,8.2,9,8,9,8,7
より分けられる,分け与えられる,5.4,8,4,7,2,6
より分けられる,分担される,6,8,5,5,7,5
より分けられる,分配される,7.4,8,8,8,7,6
より分ける,配分する,6.2,7,4,8,6,6
ランクアップする,上昇する,7.2,8,9,5,6,8
ランクアップする,上がる,6.8,6,8,5,7,8
わずらった,弱めた,0.2,0,0,0,1,0
哀願した,頼んだ,6.2,7,4,6,7,7
哀願した,依頼した,4.6,6,4,6,6,1
哀願した,切望した,6.8,8,6,6,6,8
哀願した,嘆願した,6.6,7,7,6,7,6
哀願した,お願いした,6.4,7,6,7,7,5
哀願した,頼みこんだ,7.2,7,7,7,7,8
哀願する,嘆願する,7.2,7,7,9,7,6
哀願する,依頼する,5,5,6,7,6,1
哀願する,熱願する,6.8,7,6,7,7,7
哀願する,懇望する,7.4,8,7,8,7,7
哀願する,頼む,6,7,6,6,6,5
依頼した,お願いした,8.2,10,9,7,7,8
依頼する,頼む,8.4,9,9,9,7,8
意味した,表示した,1.8,0,0,4,5,0
育ちきった,成熟した,7.6,8,9,6,7,8
育ちきった,完成した,5.8,6,8,8,6,1
育ちきった,発達した,7.4,8,8,9,7,5
育っていた,成長していた,7.2,5,8,9,7,7
育っていた,発達していた,6,4,8,6,7,5
育てる,生育する,8,8,9,7,8,8
一緒にした,同封した,7,7,7,8,5,8
一緒にした,添えた,5.8,7,7,8,5,2
一緒にした,添付した,6,8,7,8,5,2
一致する,合体する,5.4,7,5,4,3,8
一致する,いける,0.8,0,2,0,2,0
引き合いにする,引用する,7.2,7,8,5,8,8
引き合いに出した,利用した,3.6,2,5,6,5,0
引き合いに出した,参照した,6.2,8,7,7,3,6
引き受けた,同意した,7.4,10,9,7,6,5
引き受ける,承認する,6.6,8,7,9,4,5
引き立つ,合う,2.4,0,3,2,2,5
引き立つ,栄える,3.8,7,5,5,2,0
引き立つ,映える,5.8,5,7,5,5,7
引き立つ,目立つ,5,7,5,6,4,3
引き立つ,良く見える,5.6,7,6,6,3,6
引き立った,映えた,6,7,5,6,5,7
引けを取らない,上回る,3.6,5,4,2,4,3
引けを取らない,勝る,6,7,6,8,4,5
引けを取らない,優れる,5,5,5,5,4,6
引用した,使った,5.8,7,8,5,5,4
引用した,利用した,5.2,7,6,4,5,4
引率する,指導する,4.2,5,4,7,5,0
隠し持つ,潜める,5.4,5,8,5,4,5
隠し持った,おさめた,3.2,1,6,4,5,0
隠し持った,隠れた,3.8,2,6,6,3,2
隠し持った,留めた,1.8,2,4,0,3,0
隠し持った,隠した,5.8,8,8,7,4,2
隠し持っている,持ち合わせている,3.2,2,5,5,3,1
窺える,漂う,2.6,2,1,5,5,0
運んだ,担ぎ上げた,6,6,8,6,6,4
運んだ,担いだ,6.8,8,8,8,6,4
運転した,動かした,5.4,5,8,5,5,4
運転した,操作した,7.6,9,9,7,6,7
運転する,操作する,7.2,7,7,9,6,7
運転できる,コントロールできる,6,8,5,6,5,6
運転できる,操縦できる,7,7,8,7,6,7
映えた,似合った,2.8,0,3,0,5,6
映えた,あった,2,0,0,0,4,6
映える,良く見える,6.6,6,8,7,5,7
映し出す,表している,6.8,6,8,4,8,8
映し出す,表現する,5.6,5,5,3,7,8
映し出す,表す,7,6,7,6,8,8
映る,見える,6.8,6,5,9,7,7
栄える,合う,1.6,0,3,0,5,0
栄える,調和する,1.8,0,2,2,5,0
永眠した,死んだ,8.8,8,10,9,9,8
円熟した,成長した,7.2,5,9,9,7,6
円熟する,成熟する,7,7,6,8,8,6
往生した,他界した,7.6,10,6,6,8,8
往生した,死亡した,8.4,10,8,8,8,8
応じる,認める,6.2,8,6,8,5,4
応じる,受け入れる,7.8,9,8,9,6,7
苛々しい,怒りたい,5.8,7,4,8,5,5
苛立たしい,忌ま忌ましい,6,6,6,6,6,6
苛立たしかった,むかむかした,6.4,7,5,7,7,6
苛立たしげ,怒ったよう,6.8,6,9,6,7,6
壊れた,破壊した,5,5,7,6,5,2
壊れた,痛めた,5,7,7,7,4,0
壊れやすい,崩れやすい,6.8,8,7,9,6,4
壊れやすい,割れやすい,6.2,8,7,7,5,4
壊れやすく,崩れやすく,7,9,7,9,6,4
壊れる,崩れる,6,6,7,8,5,4
壊れる,終わる,4.6,6,6,5,6,0
壊滅する,崩れる,5,6,3,5,6,5
懐妊する,身籠る,9,10,9,9,9,8
開示した,明示した,6,7,6,5,5,7
開示する,明記する,6.6,5,8,8,5,7
開示する,明らかにする,6.8,6,9,7,5,7
外す,なくす,5.4,6,4,7,5,5
拡大された,拡張された,5.6,5,7,3,7,6
拡張した,拡大した,7.8,9,8,9,7,6
拡張した,広がった,7.6,8,9,9,6,6
獲得した,取った,6.4,6,5,7,7,7
確立する,成熟する,4.8,7,8,5,4,0
割り当てた,分けた,6.6,8,7,7,6,5
完熟した,老熟した,5.6,7,5,6,5,5
完成した,発達した,4,5,5,2,4,4
完成する,確立する,5.6,4,6,7,6,5
感じられる,する,1.4,1,3,0,3,0
感じられる,ある,1.8,2,3,1,3,0
感じる,する,1.6,1,4,0,3,0
感じる,あふれる,1.4,0,1,0,4,2
感染した,かかった,6.4,7,8,5,7,5
緩ませた,緩めた,6.8,7,5,7,8,7
緩ませた,緩和した,6.8,5,7,7,8,7
緩ませて,緩めて,6.2,7,3,6,8,7
緩めた,回した,1.2,1,3,0,2,0
緩める,緩和させる,7.6,9,8,7,8,6
緩和させた,弱めた,5.6,5,7,7,4,5
観察した,見た,6.8,7,9,8,5,5
間を置かず,ささっと,7.4,8,8,10,6,5
陥った,入った,3.4,4,5,1,3,4
丸出しにする,出して見せる,5.2,5,8,3,5,5
丸出しにする,露出する,7,7,9,6,7,6
願う,懇望する,7.4,9,7,9,6,6
気が休まらない,疲れる,4.6,5,5,3,5,5
記されておる,書かれておる,7.6,9,9,6,8,6
記されておる,記載されておる,8.2,9,9,9,8,6
記載された,書かれた,7.6,7,9,8,8,6
記載された,表記された,7.8,8,9,8,7,7
記載された,表示された,6.8,7,8,7,5,7
記述された,掲載された,5.8,9,5,8,3,4
記述された,書かれた,7,6,7,8,8,6
記述された,記載された,8,9,9,8,8,6
記述された,記された,8.4,10,9,9,8,6
記述されておる,書かれておる,8.2,10,9,8,8,6
記帳された,書いてある,4.6,7,3,5,6,2
記帳された,記された,5.2,8,4,6,5,3
記帳された,書かれた,5.4,8,5,7,5,2
記帳した,作成した,2.8,5,2,4,3,0
記入された,記述された,6.2,4,9,8,7,3
記入した,記載した,6.2,5,9,8,6,3
記入した,明記した,6.6,6,9,9,6,3
記入した,書いた,7.4,7,9,9,7,5
記名した,掲載した,3.6,7,3,3,5,0
記名した,明記した,4.2,6,3,2,7,3
偽った,演じた,4.8,6,7,2,4,5
偽装した,装った,6.8,7,9,5,6,7
偽装した,見せかけた,7.2,8,8,6,7,7
求められている,望まれている,7.8,8,10,8,6,7
許可を出した,認めた,6.2,8,6,3,8,6
許可を出した,承諾した,7.2,8,10,5,7,6
許可を出した,承知した,5.4,6,3,7,5,6
許可を出した,了承した,7,8,8,8,5,6
許可を出した,承認した,7.4,8,8,8,7,6
許諾した,了承した,6.6,5,9,7,5,7
許諾した,承諾した,7.6,6,9,9,7,7
許諾した,認めた,7,5,8,8,8,6
許諾した,承認した,8,9,9,7,8,7
許諾した,同意した,6.2,5,7,7,6,6
協調した,提携した,6,8,8,7,4,3
駆け巡る,ひたすら走る,6,7,5,5,7,6
駆け抜ける,爆走する,6.8,8,6,7,7,6
駆除した,出した,2,0,1,4,0,5
駆除した,排斥した,5.8,7,4,7,5,6
駆除した,いなくした,6.6,9,7,6,6,5
駆除した,追い出した,6.2,7,5,7,6,6
駆除した,撤退した,3.2,5,4,5,0,2
具現化する,出現する,4.8,8,5,4,2,5
具現化する,表面化する,7,9,7,7,5,7
掲載される,書いてある,5.6,6,8,5,4,5
掲載した,明記した,6.4,9,6,8,4,5
掲載した,記した,6.6,8,8,9,3,5
軽視する,無視する,4.2,6,6,5,0,4
欠かす,取り除く,4.8,4,8,7,0,5
欠く,劣る,3.8,7,5,2,1,4
欠く,なくす,5.6,6,5,8,4,5
決まらない,一悶着ある,2.2,0,2,4,0,5
決まる,争う,0.6,0,0,0,0,3
喧嘩になる,一悶着ある,6.4,7,9,6,4,6
喧嘩をした,争った,7.2,9,8,7,5,7
喧嘩をする,主張しあう,3.6,6,2,3,1,6
喧嘩をする,ぶつかる,6.2,5,8,7,4,7
肩に乗せた,背負った,6.8,10,8,5,5,6
見え隠れした,表れた,4,5,7,2,0,6
見え隠れした,描写された,1.8,2,2,0,0,5
見え隠れした,表現された,1.4,0,2,0,0,5
見せかけた,演じた,5.6,7,8,5,3,5
見せかけた,偽った,7,8,8,9,5,5
見せ掛けた,取り繕った,5,3,6,6,4,6
見せ掛けた,繕った,3.8,3,5,6,4,1
見つけた,狙った,3.8,7,5,2,0,5
見てとれる,示される,5.6,6,4,8,4,6
見てとれる,表面化する,6,8,5,8,3,6
見てとれる,見える,6.8,7,8,9,5,5
見て取れた,出た,3,5,1,2,3,4
見て取れた,表れた,5.4,5,4,7,5,6
見て取れた,見え隠れした,2.4,3,1,2,2,4
見られる,発生する,2.4,2,1,0,4,5
見映えがする,引き立つ,7.4,10,8,6,6,7
見映えがする,目立つ,6.6,9,7,7,5,5
見栄えがする,映える,7.2,8,8,6,7,7
見栄えがする,よりよく見える,7.2,8,7,8,7,6
見栄えする,映える,7,7,7,7,7,7
見栄えのする,引き立つ,6.2,7,7,4,6,7
見栄えのする,際立つ,7.2,8,7,7,7,7
見栄えのする,目立つ,6.4,7,7,8,5,5
顕示した,表示した,5,5,6,2,5,7
顕示した,明言した,5.6,6,4,6,6,6
元気づける,励ます,6.6,5,8,5,7,8
現われた,登場した,6.6,5,8,6,6,8
現われた,浮上した,6.2,6,6,7,4,8
言い合った,審議した,5.8,8,7,5,4,5
言い争いした,議論した,6.6,7,7,8,6,5
言い争う,争う,5.8,7,7,6,4,5
言い足す,付け加える,5.8,5,7,6,6,5
言った,称した,6.6,8,8,6,6,5
戸惑う,困る,6.8,8,7,5,7,7
戸惑った,困惑した,7.8,6,9,9,7,8
戸惑った,迷った,6.6,9,8,6,5,5
戸惑っている,迷っている,4.8,2,6,6,5,5
戸惑っている,混乱している,6.8,8,8,6,6,6
戸惑っている,当惑している,7.8,9,8,7,7,8
戸惑っている,困っている,7.2,8,8,8,5,7
後退した,退却した,6.6,8,6,7,6,6
後退した,衰退した,6,8,7,7,3,5
後退する,退避する,6.6,8,8,7,4,6
後退する,撤退する,5.6,8,8,7,0,5
口にした,伝えた,7.2,8,8,6,6,8
口に出した,称した,5.4,7,6,4,5,5
口外しない,隠す,6,8,6,5,4,7
口論になる,主張しあう,5.4,6,4,7,5,5
口論になる,もめる,7.8,8,8,10,6,7
口論になる,喧嘩する,7.4,9,8,8,5,7
広げた,拡大した,7.8,8,9,8,7,7
控えめな,慎ましやかな,7.4,9,9,7,5,7
考察した,躊躇した,1,2,0,0,0,3
荒む,荒れる,7.6,10,6,7,6,9
荒れた,荒廃した,8.2,9,9,7,7,9
荒れた,整ってない,6.2,7,8,6,3,7
荒れた,廃れた,7.2,8,9,7,4,8
荒れている,波だっている,6.2,8,5,9,4,5
荒れる,一悶着ある,2.4,3,0,0,5,4
合う,合体する,7.2,7,7,9,8,5
合わさる,合体する,8.4,9,9,7,9,8
合わさる,一致する,7.2,6,8,8,7,7
合わせた,飾った,1.6,3,0,0,0,5
合致した,一致した,9,10,9,9,8,9
合致する,合わさる,7.4,6,8,7,9,7
合致する,合っている,8.6,9,9,9,9,7
告げた,言った,7.4,8,5,9,7,8
困った,混乱した,7,9,6,7,5,8
困惑した,迷惑した,6,9,6,8,3,4
困惑している,混乱している,6.8,8,6,8,5,7
懇願する,頼み込む,7.4,5,8,9,7,8
懇願する,頼む,7.2,9,8,7,6,6
混迷した,困った,6.4,5,7,8,5,7
混迷した,困惑した,6.6,6,6,7,6,8
混迷した,当惑した,6.8,7,7,7,5,8
混乱した,迷った,7,8,7,9,4,7
混乱している,おどおどしている,5.4,8,5,7,3,4
塞ぎ込んだ,病んだ,5.2,5,3,7,6,5
塞ぎ込んだ,傷ついた,3.4,5,5,2,0,5
採った,取った,7.2,9,7,8,4,8
採った,獲得した,6.2,6,7,6,6,6
採った,採取した,8.4,9,9,9,7,8
採られた,取らされた,6.4,9,6,8,4,5
採取した,取った,8.2,10,9,9,5,8
採集された,捕らえられた,6.2,5,8,6,5,7
採集した,採った,7.4,6,9,8,5,9
採集した,取った,6.2,5,7,6,5,8
栽培した,採取した,2,1,5,0,0,4
栽培した,取った,0.6,0,0,0,0,3
載った,明記した,6.4,8,6,8,5,5
載った,掲載した,8,9,7,9,7,8
載った,記した,6.4,8,7,8,4,5
載った,記載された,7.4,9,8,9,4,7
載る,書いてある,6.4,9,6,9,3,5
際立つ,合う,1.6,0,2,0,0,6
際立った,目立った,6.6,8,8,5,6,6
作用する,はまる,2.8,3,1,1,4,5
削除する,排除する,7,9,7,9,3,7
削除する,除く,7.6,8,9,9,5,7
錯乱する,乱れる,6.4,8,4,8,5,7
参考にした,利用した,5.4,8,4,5,4,6
散らかった,荒れた,5,5,4,6,5,5
伺える,あふれる,1.6,0,1,0,3,4
使用した,用いた,6.6,7,5,7,5,9
使用した,飾った,3.4,4,5,4,0,4
使用している,配置されている,2.4,4,2,0,0,6
姿を消した,無くなった,5.2,7,3,5,3,8
姿を消した,消滅した,6.6,7,6,7,6,7
子供をつくった,妊娠させた,6.6,6,9,7,5,6
子供を宿した,妊娠した,8.4,8,9,9,7,9
指でつかんだ,つまんだ,7,8,9,6,4,8
指ではさんだ,つまんだ,7.2,10,9,6,5,6
指ではさんだ,はさんだ,6.6,7,9,5,5,7
指ではさんだ,持った,5.6,6,7,5,5,5
指揮する,指導する,6.4,7,9,8,3,5
指先で挟んだ,はさんだ,6.8,8,9,8,4,5
指先で持つ,つかむ,5.4,6,5,5,5,6
指導する,引っ張る,5,6,7,5,0,7
止まる,消える,3.8,7,2,5,0,5
止む,なくなる,4.6,4,7,5,0,7
死去した,死亡した,9.4,9,10,10,9,9
似合う,目立つ,0.8,0,0,0,0,4
似合った,あった,5,6,5,2,4,8
持ち合わせている,隠している,1.4,0,0,3,0,4
持ち上がった,出てきた,6.4,7,7,8,3,7
持った,挟んだ,2.2,2,1,0,3,5
示される,表面化する,6.6,8,8,6,5,6
示した,指した,5.2,6,5,4,4,7
辞退する,やめる,7.2,9,8,7,5,7
疾駆した,疾走した,7.2,10,5,8,6,7
疾駆した,走った,6,8,5,6,5,6
疾駆する,疾走する,7.2,10,5,8,6,7
疾駆する,ひたすら走る,6,7,5,4,7,7
疾走した,元気よく走った,4.6,4,6,4,4,5
疾走した,走った,6.4,7,7,6,5,7
疾走する,突進する,5.4,7,7,4,4,5
疾走する,駆け抜ける,8.2,7,10,7,9,8
疾走する,爆走する,6,2,5,5,9,9
疾走する,ひたすら走る,7,6,8,5,8,8
疾走する,駆け巡る,5.4,5,6,4,7,5
疾走する,走る,7.8,8,8,8,8,7
寂れた,荒廃した,7.4,9,7,6,8,7
寂れた,荒れた,5.4,4,5,6,8,4
主張しあう,争う,6.4,3,8,7,8,6
取った,取得した,7.4,9,7,5,10,6
取っ払う,排除する,8.6,9,9,9,9,7
取り去る,除外する,7.6,6,9,6,10,7
取り合わせた,取りいれた,5.4,8,5,3,8,3
取り合わせた,飾りつけた,5,6,4,6,7,2
取り除いた,消した,5.2,3,7,4,7,5
取り除いた,なくした,5,3,6,6,6,4
取り除いた,排斥した,7.6,9,8,6,8,7
取り除いた,排除した,8.4,9,7,8,10,8
取り除いた,除去した,8.6,8,9,9,8,9
取り除き,廃止した,4.8,7,3,5,6,3
取り除く,除く,7.8,7,9,9,9,5
取り除く,なくす,7.4,8,8,9,9,3
取り除く,取っ払う,8.6,9,9,9,9,7
取り入れた,飾った,1.8,2,1,0,3,3
取り払いする,撤退する,3.4,4,5,1,4,3
手に取った,つまんだ,5.6,5,5,4,7,7
受け継いだ,継いだ,8.6,8,9,9,9,8
受け継ぐ,継承する,9.6,10,9,9,10,10
受け入れた,引き受けた,7.6,8,9,6,9,6
受け入れた,認めた,7.4,7,8,9,8,5
受け入れた,同意した,8.2,8,9,8,8,8
受諾する,引き受ける,8.6,6,9,9,10,9
収集された,捕らえられた,5.8,7,8,4,2,8
収集した,取得した,5.2,7,3,8,6,2
収集した,採った,7,5,9,6,7,8
収集した,採取した,7.8,7,9,7,8,8
収集した,獲得した,5.2,4,6,5,7,4
収集した,取った,6.8,8,8,8,6,4
秀でる,勝っている,8,6,9,9,8,8
秀でる,優れる,8.6,9,9,7,9,9
秀でる,上回る,7.2,6,8,8,8,6
充実した,発展した,4.4,6,5,5,2,4
充実した,広げた,4.6,6,6,5,2,4
宿す,隠している,2,4,2,0,1,3
熟した,成長した,7.6,6,9,7,8,8
熟した,熟達した,8.2,9,8,7,8,9
熟している,成長している,7.4,9,7,5,8,8
熟している,成熟している,8.4,9,8,7,8,10
出てくる,見られる,3,5,5,2,0,3
出る,出現する,8,8,8,7,10,7
出現した,出てきた,9.2,8,9,9,10,10
出現する,出てくる,8,9,8,5,10,8
巡る,進む,3.4,4,4,0,6,3
処方した,出した,4.8,4,8,4,4,4
書いてある,記される,7.6,7,8,6,10,7
書かれた,記された,8,8,9,4,10,9
書かれた,掲載された,6.8,8,6,5,5,10
書かれておる,記載されておる,9.4,9,9,9,10,10
書き出した,持ってきた,0.6,0,2,0,0,1
除外した,取り除いた,8.6,7,10,8,10,8
除外する,除去する,7.8,5,9,8,9,8
除外する,取っ払う,7.6,9,8,7,9,5
除去した,消した,7.2,8,6,9,8,5
除去した,排除した,7.4,9,7,9,7,5
除去する,排除する,7.4,7,9,9,7,5
勝つ,優れる,6.4,7,7,6,8,4
勝っている,優れている,8.2,8,9,8,8,8
勝てる,勝る,5.8,3,7,6,9,4
勝る,超える,7.6,7,9,6,8,8
勝負した,挑んだ,8.2,9,8,6,9,9
承諾した,決意した,3.2,1,5,5,1,4
承諾した,認めた,8.2,9,8,9,8,7
承諾した,承認した,8.2,9,8,9,7,8
承知した,承認した,6,3,6,8,6,7
承知した,受諾した,7,5,9,8,6,7
承知した,認めた,6.8,6,9,9,5,5
承知した,引き受けた,6.8,5,7,8,9,5
承知した,承諾した,8.2,9,9,7,8,8
承知した,同意した,7.2,9,9,7,4,7
承知した,了承した,8.4,9,9,8,7,9
承知した,受け入れた,8,9,9,8,6,8
承知した,容認した,6.8,8,7,7,3,9
承知する,引き受ける,6.8,8,5,8,7,6
承知する,承認する,7.2,8,7,8,5,8
承知する,受諾する,6.8,7,6,7,8,6
承服する,承知する,6.2,9,5,8,1,8
承服する,引き受ける,5.8,7,4,5,6,7
承服する,了承する,5.8,7,5,7,2,8
承服する,承諾する,6.4,8,6,8,5,5
昇天した,亡くなった,5.6,9,7,6,3,3
消えた,排除した,5,5,8,6,4,2
消えた,なくなった,8.8,8,9,10,8,9
消えて無くなった,消滅した,8.6,10,9,7,8,9
消える,止む,5.8,8,9,7,3,2
消え去る,消える,8.2,9,9,7,9,7
消え失せる,消失する,8.6,8,8,9,10,8
消え失せる,消滅する,8,8,8,7,9,8
消し去った,消した,7.8,7,8,8,7,9
消散した,喪失した,2.8,5,1,2,3,3
消散した,消えた,6.8,8,4,7,6,9
消散した,滅亡した,4.8,5,6,7,2,4
消散した,消滅した,7.2,7,6,7,8,8
消失した,無くなった,8.4,8,8,9,8,9
消失する,消える,8.2,10,9,7,8,7
消滅した,終了した,4.8,5,9,6,2,2
消滅した,消えた,8.8,8,10,9,9,8
消滅した,なくなった,8.6,9,8,10,8,8
消滅する,消える,8,7,7,8,9,9
称した,名乗った,8,8,9,4,10,9
笑う,にっこりする,7.4,9,5,6,10,7
笑みを浮かべた,笑いかけた,6.6,7,9,6,8,3
笑みを浮かべた,にこにこした,7.2,8,7,8,10,3
笑顔を向けた,笑いかけた,8,10,7,6,9,8
笑顔を向けた,にんまりした,7.8,7,7,10,8,7
笑顔を向けた,にこにこした,7.2,6,8,6,9,7
笑顔を向けた,ニコニコした,7.6,7,8,7,9,7
上がった,上昇した,9,9,9,9,10,8
上に行く,上回る,6.6,7,9,5,3,9
上回る,超える,9,8,9,9,10,9
上昇する,上がる,8.4,9,8,8,10,7
