word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
storm	hurricane	N	6.38	4.7	4.59	3	2.27	1	0.9
tax	income	N	2.38	3.89	3.07	2	2.25	1	1.15
flower	violet	N	6.95	5	4.48	4	2.22	1	1.72
paper	cardboard	N	5.38	4.93	4.9	4	2.2	1	1.22
floor	ceiling	N	1.73	4.8	4.85	4	2.18	1	0.97
beach	seashore	N	8.33	4.79	4.63	3	2.15	1	0.47
rod	curtain	N	3.03	4.43	4.82	3	2.13	1	0.39
hound	fox	N	2.38	4.48	4.97	3	2.13	1	1.36
street	alley	N	5.48	4.75	4.82	4	2.07	1	1.62
boat	deck	N	4.28	4.93	4.77	4	2.04	1	1.39
car	horn	N	2.57	4.89	5	4	2.04	1	0.79
friend	guest	N	4.25	3.07	3.83	2	1.97	1	1.41
employer	employee	N	3.65	3.81	4.1	3	1.96	1	0.95
hand	wrist	N	3.97	4.72	4.93	4	1.96	1	1.32
ball	cannon	N	2.58	5	4.79	4	1.96	1	1.82
alcohol	brandy	N	6.98	4.76	4.81	4	1.93	1	0.57
victory	triumph	N	8.98	2.55	2.17	1	1.9	1	0.94
telephone	booth	N	3.63	4.96	4.42	3	1.88	1	1.1
door	doorway	N	5.4	4.81	4.75	4	1.88	1	1.86
motel	inn	N	8.17	4.93	4.64	4	1.86	1	0.39
clothes	cloth	N	5.47	4.76	4.9	4	1.82	1	1.43
steak	meat	N	7.47	4.96	4.9	4	1.81	1	1.34
nail	thumb	N	3.55	4.93	4.96	4	1.76	1	1.16
band	orchestra	N	7.08	4.68	4.79	4	1.75	1	1.36
book	bible	N	5	4.9	4.61	4	1.74	1	1.43
business	industry	N	7.02	3.28	3.29	2	1.73	1	1.1
winter	season	N	6.27	3.84	3.32	2	1.71	1	1.76
decade	century	N	3.48	3.19	2.83	2	1.64	1	1.36
alcohol	gin	N	8.65	4.76	4.46	3	1.64	1	1.17
hat	coat	N	2.67	4.88	4.97	4	1.62	1	1.76
window	door	N	3.33	4.86	4.81	4	1.56	1	1.6
arm	wrist	N	3.57	4.96	4.93	4	1.55	1	1.33
house	apartment	N	5.8	5	4.9	4	1.54	1	1.4
glass	crystal	N	6.27	4.82	4.58	3	1.52	1	1.48
wine	brandy	N	5.15	4.79	4.81	4	1.52	1	1.67
creator	maker	N	9.62	3.07	3.9	2	1.51	1	1.4
dinner	breakfast	N	3.33	4.5	4.43	3	1.49	1	1.72
arm	muscle	N	3.72	4.96	4.5	3	1.45	1	0.83
bubble	suds	N	8.57	4.6	4.59	3	1.42	1	1.59
bread	flour	N	3.33	4.92	4.97	4	1.42	1	1.25
death	tragedy	N	5.8	3.73	2.07	2	1.41	1	1.13
absence	presence	N	0.4	2.31	2.72	1	1.38	1	1.5
gun	cannon	N	5.68	4.83	4.79	4	1.35	1	1.56
grass	blade	N	4.57	4.93	4.93	4	1.34	1	1.53
ball	basket	N	1.67	5	5	4	1.33	1	1.08
hose	garden	N	1.67	4.87	4.73	4	1.32	1	1.1
boy	kid	N	7.5	4.76	4.56	3	1.28	1	1.44
church	choir	N	2.95	4.9	4.34	3	1.27	1	1.43
clothes	drawer	N	3.02	4.76	4.67	3	1.27	1	1.49
tower	bell	N	1.9	4.76	4.96	4	1.22	1	1.41
father	parent	N	7.07	4.52	4.56	3	1.19	1	1.06
school	grade	N	4.42	4.79	3	3	1.18	1	1.32
parent	adult	N	5.37	4.56	4.4	3	1.15	1	1.6
bar	jail	N	1.9	4.67	4.83	4	1.15	1	1.12
car	highway	N	3.4	4.89	4.72	4	1.15	1	1.77
dictionary	definition	N	6.25	4.62	3.07	3	1.14	1	1.06
door	cellar	N	1.97	4.81	4.68	4	1.13	1	1.47
army	legion	N	5.95	4.7	2.69	2	1.11	1	1.29
metal	aluminum	N	7.25	4.87	4.88	4	1.1	1	1.76
chair	bench	N	6.67	4.58	4.87	3	1.09	1	1.22
cloud	fog	N	6	4.54	4.66	3	1.05	1	1.04
boy	son	N	6.75	4.76	4.14	3	1.03	1	0.88
water	ice	N	6.47	5	4.89	4	1.03	1	1.66
bed	blanket	N	3.02	5	5	4	1.02	1	1.48
attorney	lawyer	N	9.35	4.52	4.7	3	1.01	1	1.4
area	zone	N	8.33	3.72	3.07	2	0.97	1	0.89
business	company	N	9.02	3.28	4.11	3	0.97	1	0.47
clothes	fabric	N	5.87	4.76	4.63	3	0.96	1	1.66
sweater	jacket	N	7.15	4.78	4.86	4	0.96	1	1.13
money	capital	N	6.67	4.54	4.1	3	0.95	1	0.97
hand	foot	N	4.17	4.72	4.9	4	0.95	1	1.41
alcohol	cocktail	N	6.73	4.76	4.4	3	0.93	1	1.2
yard	inch	N	3.78	4.82	4.37	3	0.93	1	1.4
molecule	atom	N	6.45	3.27	3.34	2	0.92	1	1.56
lens	camera	N	4.28	4.64	5	4	0.9	1	1.89
meal	dinner	N	7.15	4.62	4.5	3	0.88	1	2
eye	tear	N	3.55	4.9	4.56	3	0.88	1	1.48
god	devil	N	1.8	2.07	3.41	2	0.87	1	1.1
loop	belt	N	3.1	4.26	4.9	3	0.87	1	1.74
rat	mouse	N	7.78	4.85	4.83	4	0.87	1	0.93
motor	engine	N	8.65	4.84	4.86	4	0.87	1	1.47
car	cab	N	7.42	4.89	4.88	4	0.87	1	1.15
cat	lion	N	6.75	4.86	4.96	4	0.85	1	0.84
size	magnitude	N	6.33	3.13	2.43	2	0.84	1	0.59
reality	fantasy	N	1.03	1.72	1.59	1	0.83	1	0.89
door	gate	N	5.25	4.81	4.96	4	0.83	1	1.47
cat	pet	N	5.95	4.86	4.71	4	0.82	1	1.41
tin	aluminum	N	6.42	4.87	4.88	4	0.82	1	1.3
bone	jaw	N	4.17	4.9	4.87	4	0.82	1	0.44
cereal	wheat	N	3.75	4.83	4.89	4	0.81	1	1.72
house	key	N	1.9	5	4.89	4	0.8	1	1.09
blood	flesh	N	4.28	4.86	4.59	3	0.79	1	1.74
door	corridor	N	3.73	4.81	4.72	4	0.79	1	1.11
god	spirit	N	7.3	2.07	1.6	1	0.77	1	1.63
capability	competence	N	7.62	1.93	1.78	1	0.77	1	0.84
abundance	plenty	N	8.97	2.21	2.39	1	0.77	1	1.02
sofa	chair	N	6.67	4.9	4.58	4	0.77	1	1.56
wall	brick	N	4.68	4.86	4.83	4	0.77	1	1.16
horn	drum	N	2.68	5	4.96	4	0.77	1	0.47
organ	liver	N	6.15	4.77	4.68	3	0.76	1	1.12
strength	might	N	7.07	2.96	2.32	2	0.74	1	0.8
phrase	word	N	5.48	2.86	3.56	2	0.74	1	1.73
band	parade	N	3.92	4.68	4.54	3	0.74	1	1.74
stomach	waist	N	5.9	4.89	4.72	4	0.74	1	1.49
cloud	storm	N	5.6	4.54	4.7	3	0.73	1	1.47
joy	pride	N	5	2.37	1.66	1	0.72	1	0.9
noise	rattle	N	6.17	3.52	4.07	3	0.72	1	1.33
rain	mist	N	5.97	4.97	4.51	4	0.71	1	1.83
beer	beverage	N	5.42	4.88	4.6	4	0.71	1	1.34
man	uncle	N	3.92	4.79	4.24	3	0.7	1	1.36
apple	juice	N	2.88	5	4.89	4	0.7	1	1.65
intelligence	logic	N	6.5	2.24	1.72	1	0.68	1	1.2
communication	language	N	7.47	2.9	2.35	2	0.68	1	1.09
mink	fur	N	6.83	4.58	4.69	3	0.68	1	0.39
mob	crowd	N	7.85	3.88	4.52	3	0.67	1	1.2
shore	coast	N	8.83	4.79	4.21	3	0.67	1	1.53
wire	cord	N	7.62	4.72	4.63	3	0.67	1	1.35
bird	turkey	N	6.58	5	4.89	4	0.67	1	1.6
bed	crib	N	7.3	5	4.86	4	0.65	1	1.56
competence	ability	N	7.5	1.78	1.81	1	0.63	1	0.6
cloud	haze	N	7.32	4.54	4.04	3	0.63	1	1.68
supper	meal	N	7.53	4.63	4.62	3	0.63	1	0.47
bar	cage	N	2.8	4.67	5	4	0.63	1	0.51
water	salt	N	1.3	5	4.89	4	0.63	1	0.94
sense	intuition	N	7.68	2.61	1.67	1	0.62	1	1.24
situation	condition	N	6.58	2.03	2.15	1	0.61	1	1.41
crime	theft	N	7.53	3.03	2.93	2	0.61	1	1.32
style	fashion	N	8.5	2.67	3.43	2	0.61	1	0.87
boundary	border	N	9.08	3.04	4.29	2	0.61	1	0.44
arm	body	N	4.05	4.96	4.79	4	0.61	1	0.51
boat	car	N	2.37	4.93	4.89	4	0.61	1	1.17
sandwich	lunch	N	6.3	4.9	4.31	3	0.58	1	1.53
bride	princess	N	2.8	4.63	4.72	3	0.58	1	0.92
heroine	hero	N	8.78	4.21	3.07	2	0.56	1	1.79
car	gauge	N	1.13	4.89	4	3	0.56	1	1.47
insect	bee	N	6.07	4.89	4.88	4	0.55	1	1.34
crib	cradle	N	8.55	4.86	4.93	4	0.55	1	1.15
animal	person	N	3.05	4.61	4.72	3	0.54	1	1.38
marijuana	herb	N	6.5	4.89	4.57	3	0.54	1	0.59
bed	hospital	N	0.92	5	4.64	4	0.54	1	1.35
cheek	tongue	N	4.52	4.83	4.93	4	0.54	1	0.47
disc	computer	N	3.2	4.85	4.93	4	0.54	1	0.44
curve	angle	N	3.33	4.41	3.5	3	0.53	1	1.51
grass	moss	N	5	4.93	4.9	4	0.53	1	1.27
school	law	N	1.13	4.79	2.57	2	0.52	1	1.49
foot	head	N	2.3	4.9	4.75	4	0.52	1	0.62
mother	guardian	N	6.5	4.6	3.28	3	0.51	1	1.13
orthodontist	dentist	N	8.27	4.43	4.93	3	0.51	1	1.47
alcohol	whiskey	N	7.27	4.76	4.74	4	0.51	1	1.19
mouth	tooth	N	6.3	4.74	4.89	4	0.51	1	1.39
breakfast	bacon	N	4.37	4.43	4.9	3	0.5	1	1.46
bathroom	bedroom	N	3.4	4.52	4.9	3	0.5	1	1.73
plate	bowl	N	5.23	4.77	4.87	4	0.5	1	1.46
meat	bacon	N	5.8	4.9	4.9	4	0.5	1	1.5
air	helium	N	3.63	4.11	3.96	3	0.49	1	1.59
worker	employer	N	5.37	4.59	3.81	3	0.49	1	1.4
body	chest	N	4.45	4.79	4.93	4	0.49	1	1.45
son	father	N	3.82	4.14	4.52	3	0.48	1	1.75
heart	surgery	N	1.08	4.52	4.34	3	0.48	1	1.07
woman	secretary	N	1.98	4.46	4.54	3	0.48	1	1.6
man	father	N	4.83	4.79	4.52	3	0.48	1	1.62
beach	island	N	5.6	4.79	4.96	4	0.48	1	0.39
story	topic	N	5	3.3	2.59	2	0.47	1	1.7
game	fun	N	3.42	4.5	1.97	2	0.47	1	2.07
weekend	week	N	4	3.83	3.48	2	0.47	1	1.57
couple	pair	N	8.33	3.93	3.88	3	0.47	1	1.5
woman	wife	N	5.72	4.46	4.13	3	0.47	1	1.35
sheep	cattle	N	4.77	4.9	4.64	4	0.47	1	0.47
purse	bag	N	8.33	4.9	4.9	4	0.47	1	1.39
ceiling	cathedral	N	2.42	4.85	4.86	4	0.46	1	1.57
bean	coffee	N	5.15	5	4.81	4	0.46	1	1.52
wood	paper	N	2.88	4.85	4.93	4	0.44	0	1.55
top	side	N	1.9	3.93	3.68	3	0.43	0	1.29
crime	fraud	N	5.65	3.03	1.68	1	0.42	0	1.18
pain	harm	N	5.38	3.5	2.62	2	0.42	0	0.95
lover	companion	N	5.97	3.68	3.75	3	0.42	0	0.8
evening	dusk	N	7.78	3.26	4.24	3	0.42	0	1.32
father	daughter	N	2.62	4.52	4.79	3	0.42	0	1.69
wine	liquor	N	7.85	4.79	4.73	4	0.42	0	0.78
cow	goat	N	2.93	4.96	5	4	0.42	0	0.59
belief	opinion	N	7.7	1.19	1.93	1	0.41	0	1.24
reality	illusion	N	1.42	1.72	2.48	1	0.41	0	1.36
pact	agreement	N	9.02	2.52	2.22	1	0.41	0	1.2
wealth	poverty	N	1.27	2.63	2.54	1	0.41	0	1.47
accident	emergency	N	4.93	3.26	2.41	2	0.41	0	0.49
battle	conquest	N	7.22	4	2.54	2	0.41	0	0.89
friend	teacher	N	2.62	3.07	4.52	3	0.41	0	1.29
illness	infection	N	6.9	3.54	4.1	3	0.41	0	1.28
game	trick	N	2.32	4.5	3.36	3	0.41	0	1.02
brother	son	N	3.48	4.43	4.14	3	0.41	0	1.61
aunt	nephew	N	3.1	4.17	4.48	3	0.41	0	1.31
worker	mechanic	N	4.92	4.59	4.38	3	0.41	0	1.2
doctor	orthodontist	N	5.58	4.69	4.43	3	0.41	0	1.25
oak	maple	N	6.03	4.82	4.46	3	0.41	0	0.39
bee	queen	N	3.27	4.88	4.45	3	0.41	0	1.2
car	bicycle	N	3.47	4.89	4.89	4	0.41	0	1.68
goal	quest	N	5.83	3.06	2.87	2	0.4	0	1.31
august	month	N	5.53	3.04	4.2	2	0.4	0	1.54
army	squad	N	5.08	4.7	3.65	3	0.4	0	1.61
cloud	weather	N	4.87	4.54	3.83	3	0.4	0	0.94
physician	doctor	N	8.88	4.65	4.69	3	0.4	0	1.5
canyon	valley	N	6.75	4.81	4.72	4	0.4	0	1.39
river	valley	N	1.67	4.89	4.72	4	0.4	0	1.23
sun	sky	N	2.27	4.83	4.45	3	0.39	0	1.67
target	arrow	N	3.25	4.11	4.97	3	0.38	0	1.74
chocolate	pie	N	2.27	4.72	4.92	4	0.38	0	1.79
circumstance	situation	N	7.85	1.77	2.03	1	0.36	0	1.31
opinion	choice	N	5.43	1.93	1.9	1	0.36	0	1.5
rhythm	melody	N	6.12	3.07	3.71	2	0.36	0	1.27
gut	nerve	N	4.93	4.15	3.89	3	0.36	0	1.65
day	dawn	N	5.47	3.92	4.46	3	0.36	0	1.45
cattle	beef	N	7.03	4.64	4.74	3	0.36	0	1.53
doctor	professor	N	4.65	4.69	4.86	4	0.36	0	1.19
arm	vein	N	3.65	4.96	4.63	4	0.36	0	1.62
room	bath	N	3.33	4.79	4.85	4	0.36	0	0.49
corporation	business	N	9.02	2.79	3.28	2	0.35	0	1.44
fun	football	N	1.97	1.97	4.73	2	0.35	0	1.43
hill	cliff	N	4.28	4.93	4.71	4	0.35	0	1.26
bone	ankle	N	3.82	4.9	4.81	4	0.35	0	0.69
apple	candy	N	2.08	5	4.83	4	0.35	0	0.75
helper	maid	N	5.58	3.39	4.64	3	0.34	0	0.44
leader	manager	N	7.27	3.89	4.14	3	0.34	0	1.43
lemon	tea	N	1.6	5	4.69	4	0.34	0	1.33
bee	ant	N	2.78	4.88	4.86	4	0.34	0	1.04
basketball	baseball	N	4.92	4.97	4.86	4	0.34	0	0.93
rice	bean	N	2.72	4.86	5	4	0.34	0	1.27
bed	furniture	N	6.08	5	4.89	4	0.34	0	0.84
emotion	passion	N	7.72	2.44	2.3	1	0.33	0	1.3
anarchy	chaos	N	7.93	2.12	2.79	1	0.33	0	1.35
crime	violation	N	7.12	3.03	2.67	2	0.33	0	0.87
machine	engine	N	5.58	4.25	4.86	3	0.33	0	1.95
beach	sea	N	4.68	4.79	4.79	4	0.33	0	1.08
alley	bowl	N	1.53	4.82	4.87	4	0.33	0	0.51
jar	bottle	N	7.83	5	4.91	4	0.33	0	1.44
strength	capability	N	5.28	2.96	1.93	1	0.32	0	1.33
seed	mustard	N	3.48	4.71	4.93	4	0.32	0	0.59
guitar	drum	N	3.78	4.9	4.96	4	0.32	0	1.72
opinion	idea	N	5.7	1.93	1.61	1	0.31	0	1.29
north	west	N	3.63	4.14	3.44	3	0.31	0	1.6
diet	salad	N	2.98	3.21	4.97	3	0.31	0	1.6
mother	wife	N	3.02	4.6	4.13	3	0.31	0	1.62
dad	mother	N	3.55	4.29	4.6	3	0.31	0	1.44
captain	sailor	N	5	4.19	4.86	3	0.31	0	1.43
meter	yard	N	5.6	4.7	4.82	4	0.31	0	1.32
beer	champagne	N	4.45	4.88	4.82	4	0.31	0	1.2
motor	boat	N	2.57	4.84	4.93	4	0.31	0	1.45
card	bridge	N	1.97	4.9	4.97	4	0.31	0	1.69
science	psychology	N	4.92	2.79	2.31	1	0.3	0	1.91
sinner	saint	N	1.6	3.07	3.45	2	0.3	0	1.39
destruction	construction	N	0.98	3.21	3.72	2	0.3	0	1.69
crowd	bunch	N	7.42	4.52	3.5	3	0.3	0	1.37
beach	reef	N	3.77	4.79	4.7	4	0.3	0	1.85
man	child	N	4.13	4.79	4.78	4	0.3	0	1.34
bread	cheese	N	1.95	4.92	4.7	4	0.3	0	1.52
champion	winner	N	8.73	3.82	3.21	2	0.29	0	1.15
celebration	ceremony	N	7.72	3.47	3.57	2	0.29	0	0.61
menu	order	N	3.62	4.67	2.79	3	0.29	0	1.42
king	princess	N	3.27	4.1	4.72	3	0.29	0	1.7
wealth	prestige	N	6.07	2.63	1.61	1	0.28	0	1.55
endurance	strength	N	6.58	2	2.96	1	0.28	0	0.59
